id,sentence,tense/aspect
159,The car was stopped by the police officer .,past
1593,The pig rolled in the mud .,past
1594,The couches were old and torn .,past
1597,The kangaroos jumped up the trail .,past
1598,A marble rolled down the hill .,past
1599,The turtles had hard shells .,past
1602,Cars drove quickly down the highway .,past
1603,The toilet was extremely dirty .,past
1607,The zipper was brokwn on my jeans .,past
1608,A squirrel climbed up the tree .,past
1609,The bicycles were brand new .,past
161,The butterfly flew over the hill .,past
1611,Dogs howled at the moon .,past
1612,The televisions were on sale .,past
1613,A cheetah ran across the plain .,past
1614,The skunk sprayed the dog .,past
162,The peacocks flashed their feathers to attract a mate .,past
163,A knife was in the cupboard .,past
164,The footballs were spiked into the ground .,past
165,A computer was turned on and downloading software .,past
166,A pig oinked in joy at the offering of apples .,past
1666,The kite got blown away by the wind,past
1671,The elephant was huge,past
1673,The rabbits kept hopping away .,past
168,Cheetahs raced across the plains .,past
1684,The cars really looked beautiful and fast .,past
1690,The butterfly had a beautiful color on its wings,past
1694,The skunk smelled really bad,past
1695,The couches were torn to shreds .,past
1696,The toilet needed a good cleaning,past
1704,The pig ate too much slop .,past
171,The guitars were mounted on the wall .,past
1714,A trumpet loudly signaled the start of the horse race .,past
1715,Tires were loaded on the truck for recycling .,past
1718,A clock started ticking without having been wound first .,past
1719,Toilets overflowed in the company 's restroom .,past
1720,The beds were pushed together suspiciously .,past
1723,A bear rummaged through her garbage can .,past
1724,The cheetahs raced each other across the steppe .,past
1727,The pigeon landed on the top of the government building .,past
1728,The zippers on the sleeping bags were all broken .,past
173,Towels were laid on the ground at the beach .,past
1730,Penguins waddled for months across the ice to the sea .,past
1731,A light bulb broke when it would not unscrew properly .,past
1732,An elephant swung his tusk dangerously at the zoo keeper .,past
1733,The cars gleamed in the show room after being waxed .,past
1735,The peacock had multi-colored feathers .,past
1738,The piano had one dead key that would n't play .,past
1740,The lamps were purchased as part of a matching set .,past
1742,Knives were thrown by the performer at the apple on his assistant 's head .,past
1744,The owls landed on our chimney every night for months .,past
1745,The marble rolled under the sofa .,past
1749,A towel was ripped in the washing machine .,past
175,A shark caught a seal .,past
1750,Bicycles were for sale in the sports shop .,past
1754,The couches made of leather were cold in the winter .,past
1755,Lions stalked their prey in the jungle .,past
1757,The dog accidentally fell into the swimming pool .,past
1760,The pianos were played together,past
1761,A boat glided over the reef,past
1762,The chairs were arranged in a circle,past
1763,The dolphin aided the stranded fisherman,past
1765,Cars drove along the lines,past
1766,Marbles were never returned,past
1767,The fence needed mending soon,past
1768,The camels drank their fill,past
1769,A toilet was flushed after repair,past
1770,The butterfly fluttered upwards slowly,past
1771,A shark ate the scuba diver,past
1772,The rabbit ate lots of carrots,past
1774,The turtles swam away from shore,past
1775,Penguins swam under ice,past
1776,A couch slouched in the middle,past
1777,The fox jumped over the dog,past
1779,The kites flew in unison,past
178,An owl hooted into the night .,past
1780,A lion roared on cue,past
1781,Bicycles were kept in racks,past
1782,The zipper got stuck at an awkward position,past
1783,The light bulbs were changed for CFLs,past
1784,The cat stalked the mouse,past
1785,A shirt was worn unbuttoned,past
1786,The cheetahs ran after the gazelle,past
1788,The peacocks strutted around seriously,past
1789,Cows mooed in the field,past
179,The cat meowed for food .,past
1790,A guitar was strummed onstage,past
1791,Beds were slept in,past
1792,Owls hooted at the squirrels bothering them,past
1795,The football was thrown far,past
1796,Knives cut the vegetables smoothly,past
1797,The squirrels hoarded for winter,past
1798,The trumpet blew a fierce blast,past
1799,A kangaroo jumped away from the dog,past
18,A football was tossed at me .,past
180,The rabbits jumped around on the lawn .,past
1800,The towels were left on the floor,past
1801,The tire blew up on impact,past
1802,The bear growled at the intruder,past
1803,Televisions showed max headroom,past
1804,An elephant mourned the dead,past
1805,Pigeons flew up at the thrown crumbs,past
1806,The bicycles zoomed in and out of traffic .,past
1808,A skunk lifted its tail .,past
1811,The towel was wet .,past
1812,An elephant splashed water on his back .,past
1816,The dolphin leaped into the air .,past
1817,Pigeons flew over our heads .,past
1819,Guitars were strummed .,past
1820,The chair was tipped over .,past
1822,The foxes evaded the hounds .,past
1824,The footballs were thrown .,past
1825,A television was on in the background .,past
1826,The butterfly landed on the flowers .,past
1828,The cats meowed .,past
1829,The cow ate grass .,past
183,The zipper was zipped all the way .,past
1830,Lions roared loudly .,past
1831,A car ran a stop sign .,past
1832,The knives were sharp .,past
1834,The marble got captured by the opponent .,past
1835,The bears slumbered .,past
1836,A bed was made .,past
1837,A cheetah ran fast .,past
1838,Boats floated silently .,past
1839,The penguin waddled across the ice .,past
1841,The zipper hissed closed .,past
1844,Lamps were lit .,past
1845,A panda looked for leaves to eat .,past
1846,The kangaroos hopped away .,past
1847,Peacocks flashed their tails .,past
1848,The turtles moved slowly .,past
1849,The couch was covered with a soft blanket .,past
185,The skunks sprayed each other .,past
1850,The computers hummed quietly .,past
1852,The butterfly spread its colorful wings,past
1856,The shirt was very dirty,past
1857,A light bulb was burnt out,past
1858,The pigs smelled,past
1859,The marbles rolled under the table,past
186,The camel was a symbol for a popular cigarette brand .,past
1860,The boat sank to the bottom of the ocean,past
1862,The trumpet was old,past
1863,The toilet was clogged,past
1864,A peacock spread its wings,past
1866,The bicycles had flat tires,past
1868,The knives were very sharp,past
187,Foxes ran from the hunters .,past
1873,The dolphin jumped through the air,past
1877,The cow ate grass,past
1879,The guitars strings were broken,past
188,Turtles wandered through the grass .,past
1880,The chair was turned over,past
1884,The cheetahs ran fast through the brush,past
1886,The cat ate the mouse,past
1888,The squirrels chased each other,past
189,The tires screeched against the ground .,past
1890,The tire was flat,past
1891,The footballs were all flat,past
1893,The gorillas were at the zoo,past
1894,The skunk ran from the dog,past
1895,Clocks ticked at noon,past
1896,A marble hit me in the head .,past
1898,The bicycle was stolen .,past
1907,A light bulb was replaced .,past
191,A cow was tipped over my micheivous children .,past
1912,A fox chased the rabbit .,past
1914,The panda ate the bamboo .,past
1917,The elephants escaped the ivory hunters .,past
1918,A cat scratched at the door .,past
1919,A car was stolen from the parking lot .,past
1923,The toilets were full of urine .,past
1924,The bear ate the old woman .,past
1926,A tire rolled down the hill .,past
1927,The squirrel ate a nut .,past
1930,The kangaroos put the joeys in their pouches .,past
1931,The dogs barked furiously .,past
1933,A lion ate the baby goat .,past
1937,The television blew up .,past
1938,The zipper on the coat was stuck .,past
1939,The towels were left !!! wet and soggy !!! on the bathroom floor .,past
194,The skunks stayed away from the humans except to raid their garbage cans .,past
1940,The rabbits stole carrots and cabbages from the farmer 's fields .,past
1941,Guitars lined the walls of the music shop .,past
1942,The squirrel gathered nuts for the winter .,past
1943,A dog frolicked in the grass !!! nipping at the butterflies .,past
1944,The chairs were lined up symmetrically against the wall .,past
1946,Footballs and basketballs were brought out in the gym glass .,past
1947,A car drove slowly down the street .,past
195,The bear was barely visible !!! like a shadow in the moonless night .,past
1951,A toilet stood in the middle of the bathroom .,past
1953,The beds looked comfortable to the hotel guests .,past
1954,The marble slowly made its way through the Mouse Trap course .,past
1955,A kite took a sharp dive to the ground when the wind let up .,past
1957,The bicycle had a rusty chain and a flat tire .,past
1959,A knife was left behind at the crime scene .,past
196,The footballs were specially designed for professional competition .,past
1960,The fences were in need of repair .,past
1961,The elephant helped its young out of the water .,past
1962,Turtles slowly made their way across the sandy beach .,past
1963,A shark slowly swam underneath the fishing boat .,past
1965,The cheetahs were curled up sleeping .,past
1967,The pigeon in the children 's book shared a cookie with a duckling .,past
1968,The skunks chased each other through the flower field .,past
1970,A fox and a hound became friends .,past
1972,The lamps were on in the room .,past
1973,Shirts were scattered all around the bedroom floor .,past
1974,A butterfly fluttered across the blue sky .,past
1976,The peacock strutted across the zoo .,past
1978,The television was on !!! loudly blaring the sports game .,past
1979,Couches filled the furniture store showroom .,past
1980,The dolphins skimmed through the water .,past
1982,The camels slowly made their way across the desert .,past
1983,A boat steadily crossed the lake .,past
1984,The cat lapped up milk from its dish .,past
1987,Butterflies lit on her hand,past
1988,The lamp was bright,past
1990,The knife was very sharp,past
1991,A squirrel hid some nuts .,past
1993,The cows were hungry,past
1997,The shark swam away,past
1999,The turtles walked slowly,past
200,The lamps in the suburban houses all went out !!! one by one .,past
2000,The pigeon flew up,past
2002,The fence was high,past
2003,The bears were in the park,past
2005,The footballs flew overhead,past
2006,The tire blew out,past
2007,The peacocks posed proudly,past
2009,A dog chased the cat,past
2010,The dolphin jumped in the air,past
2011,Cars came up the road,past
2013,The pianos were for the concert .,past
2014,The towel was wet,past
2017,A pig got out of the pen,past
2019,A bed was in the room,past
2020,The zipper was stuck,past
2023,The fox ate the grapes,past
2024,A lion roared,past
2026,The skunk made an awful smell,past
2027,A clock was on the wall,past
2030,The kites flew high,past
2032,The gorillas The gorillas looked pretty calm .,past
2035,Kites Kites were flown by the children on the windy day .,past
2037,A trumpet A trumpet blared in the distance .,past
2038,Pandas Pandas chewed bamboo in their cages at the zoo .,past
2039,A fox A fox sprinted across the field .,past
2040,A shark A shark ripped the flesh to shreds .,past
2041,The penguin The penguin waddled over the snowy hill .,past
2042,The clocks The clocks all struck midnight simultaneously .,past
2045,The rabbit The rabbit bounced up and down in the grass .,past
2047,The fence The fence was covered in moss .,past
2048,The cheetah The cheetah was pretty fast .,past
2049,The televisions The televisions blared annoyingly .,past
2051,The couches The couches were smelly .,past
2052,An elephant An elephant picked a leaf off of a tree with its trunk .,past
2055,The lion The lion roared at me ferociously .,past
2056,The pigs The pigs oinked with pleasure in the mud .,past
2058,The dolphins The dolphins seemed pretty intelligent .,past
2059,The knife The knife was dull .,past
206,The computer malfunctioned for the third time that day .,past
2060,The squirrels The squirrels annoyed me by walking in my path .,past
2061,Camels Camels walked across the horizon line .,past
2062,The cars The cars revved their engines in the parking lot .,past
2065,A butterfly A butterfly flew past the window .,past
2066,A toilet A toilet overflowed in the gas station 's bathroom .,past
2067,The bears The bears rummaged through the trash .,past
207,The towels were warm and fluffy .,past
2071,The light bulbs The light bulbs were all shattered .,past
2072,The dogs The dogs barked all night long !!! and I could n't sleep .,past
2073,A turtle A turtle slowly moved past my feet,past
2074,The guitar The guitar was broken .,past
2075,Cats Cats meowed outside my apartment window .,past
2077,Owls Owls hooted outside all night long .,past
2079,Marbles Marbles rolled across the floor .,past
2080,A fox ran through the field .,past
2081,The gorillas were the funniest at the zoo .,past
2082,The skunk sprayed the car .,past
2085,The kites soared in the sky .,past
2086,The dolphin swam around .,past
2088,The beds were never made .,past
2089,A boat sailed the sea .,past
2090,The kangaroo lept around .,past
2093,A squirrel had a nut .,past
2094,The couch was full of laundry .,past
2096,The owls hooted at night .,past
2099,The pig rolled in mud .,past
2101,Knives cut things .,past
2102,The butterfly was beautiful .,past
2104,The bears ate the apples .,past
2106,A marble rolled across the floor .,past
2107,A towel molded in the dryer .,past
2108,The lamps did n't work .,past
2111,The shirt was dirty .,past
2113,The pianos were tuned by a tuner .,past
2116,The tire went flat .,past
2118,The rabbits nibbled carrots .,past
2119,The bicycle had a flat .,past
2122,The fence fell down in the storm .,past
2124,A light bulb turned on .,past
213,The trumpet blared forth the fanfare .,past
2130,The owls sat in the tree looking wise and alert .,past
2132,The lamp created a lovely glow in the living room .,past
2134,The zippers were aligned perfectly on the jackets .,past
2135,Beds were made to sleep in not eat in .,past
2136,The clock was set for 9AM sharp .,past
2137,The butterflies landed on the nose of the Golden Retriever .,past
2140,The boats were at the dock unsailed .,past
2142,The fences kept out ll the unwanted neighbors .,past
2143,Bicycles were built for two in the 1800 's,past
2144,The chair was placed near the door as a lock .,past
2145,The football was kicked between the goal posts .,past
2146,The elephants walked across the plains in search of water .,past
2147,The gorillas were serious looking yet childlike and playful .,past
215,The fences ran across the rolling hills .,past
2153,A trumpet was used to sound the beginning of battle .,past
2156,The car was on the side of the road with a flat tire .,past
2160,The fox jumped over the lazy dog !!!,past
2161,The tires were flat and full of holes .,past
2164,The towels were still wet even after being in the dryer for forty minutes .,past
2166,Couches were meant for comfort .,past
2167,The light bulbs were not screwed in all the way .,past
217,The knife cut a generous slice of cake .,past
2172,The bed was shipped as requested .,past
2173,A piano was tuned before the show .,past
2174,A knife was stuck in the back of the body .,past
2176,A shirt was purchased as a gift .,past
2177,The peacocks strutted around the yard,past
2179,The television entertained the children .,past
2180,The shark circled the seal .,past
2181,Cows ate their cud .,past
2183,A kite was seen in the sky .,past
2184,The lamps lit the room .,past
2185,A kangaroo sniffed Jimmy .,past
2186,Toilets were unpluged .,past
2187,The towels were folded .,past
2189,Rabbits ate all my carrots,past
2190,The bicycle had a flat tire .,past
2191,The dog chased the car .,past
2193,An elephant watched as we drove by .,past
2194,The lions guarded the kill .,past
2196,The fence fell down due to disrepair .,past
2197,The butterflies bounced between the flowers .,past
2199,The dolphin followed the boat for several miles .,past
22,A skunk was under the house .,past
220,An owl lived in the oak tree in the back yard .,past
2200,The fox was chased by the hound .,past
2202,The cars approved each other at high speed .,past
2204,A panda ate bamboo .,past
2206,The gorillas watched the people visiting the zoo .,past
2207,A chair was provided .,past
2208,The squirrels chased each other in the tree tops .,past
2212,An owl hooted at night,past
2213,The camel ignored the water .,past
2216,The skunks ambled off towards the bushes .,past
222,The toilet was clogged up again .,past
2220,A pigeon just flew overhead .,past
2237,Peacocks spread their colorful tail feathers .,past
2238,The marbles fell out of my bag .,past
2264,The peacock strutted around in the pen .,past
2268,The elephants did some tricks .,past
227,The dog was king of that household .,past
2270,The fox hid in the rocks by the stream .,past
2271,A kangaroo hopped across the field .,past
2272,The couch was very heavy .,past
2274,The bicycles were brand new 10-speeds .,past
2279,A light bulb just went out .,past
228,The pigs lumbered around in the stye !!! oinking .,past
2280,The pigeon flew to the rooftop .,past
2281,The guitars were in the back room .,past
2282,The camels crossed the desert .,past
2283,The car was in the parking lot .,past
2289,The marbles rolled all over the floor .,past
2290,The computer just stopped working .,past
2291,The chairs were at the dining room table .,past
2293,The tire needed some air .,past
2296,The skunk sprayed my dog !,past
2298,The lions looked majestic on the mountaintop .,past
2300,A boat was moored beside the dock .,past
2304,The toilet was clogged .,past
231,The clocks were all set to slightly different times .,past
2314,A butterfly flew from flower to flower .,past
2315,The pigeons came to roost on the ledge after dark .,past
2317,The knife was not sharp enough to slice carrots .,past
2321,The piano was not tuned up so we could n't play .,past
2322,A lamp was on sale at the thrift store .,past
2323,Kangaroos hopped across the field .,past
2324,The turtle made its way slowly across the yard .,past
2325,Light bulbs were on sale at Home Depot .,past
2327,The owl hooted in the moonlight .,past
2331,The towels were stacked on the clothes dryer .,past
2332,A kite flew high in the sky .,past
2333,The fox ran from the hounds chasing them on the estate .,past
2337,The couches were on sale at the store .,past
2338,Beds were placed next to each other for the guests .,past
2339,The fence kept deer from entering the yard .,past
234,The pandas ate bamboo prettymuch continuously in order to satisfy their caloric needs .,past
2340,The camel plodded across the desert .,past
2341,The cars roared around the track .,past
2343,The pigs wallowed in the slop to cool off .,past
2345,Chairs were provided for the extra guests .,past
2346,Televisions were placed in the break room so we could watch the moon landing .,past
2348,A zipper got stuck and she could n't take off the dress .,past
235,The car was stuck at the malfunctioning traffic light .,past
2350,A skunk let off its stink when the dog came near .,past
2355,Rabbits hoped all around the garden .,past
2358,Shirts were stacked on the counter .,past
2369,The zipper on the jacket broke .,past
237,The butterfly enjoyed the pollens of various floweres in the special garden planted to attract butterflies .,past
2374,A fence post was hit by the riding mower .,past
2376,The boats almost crashed into the jetty .,past
238,The sharks circled the prey .,past
2380,A dog went running by the house chasing a cat .,past
239,The couch was soft and comfortable .,past
2402,The squirrel jumped from tree to tree .,past
2405,The butterflies fluttered about the beautiful field of flowers .,past
2411,The marbles were shiny .,past
2412,The pigeons were smelly .,past
2423,Squirrels were nervous .,past
2427,The clock ticked .,past
2428,The bears were wild .,past
2429,The lion roared loudly .,past
2432,The gorillas were old .,past
2439,The televisions were on sale .,past
2442,The towels were wet .,past
2445,The dog was trained .,past
2446,The owls hooted .,past
245,The turtles swam in the pond looking for food .,past
2450,The zippers got stuck .,past
2451,The cat chased the mouse .,past
2452,The car was parked in the drive .,past
2455,An elephant led the circus parade .,past
2456,A butterfly flew by my nose .,past
2457,The dolphins jumped out of the water .,past
2459,The lamps were on .,past
246,The skunk did n't make it across the highway .,past
2463,A light bulb went out .,past
2466,The chairs were all at the table .,past
2469,A piano was in the band room .,past
247,A dog barked at the passerby .,past
2471,A gorilla was in the zoo .,past
2473,The pigeon flew away .,past
2477,The dogs barked all night .,past
2478,The bed was made .,past
2479,A shark was seen at the beach .,past
248,The pig wallowed in the mud .,past
2480,A skunk was hit on the road .,past
2481,The rabbit ran away swiftly .,past
2482,The guitars in the store were expensive .,past
2484,The clock was digital .,past
2488,The fox ran into the barn .,past
249,The zippers were broken .,past
2491,The computer had a virus .,past
250,The marbles rolled across the floor .,past
2501,The kites had keys on them,past
2502,A zipper got stuck,past
2511,The dog chased teh cat,past
2516,The couches were cmfy,past
2533,The turtle walked slowly along the path .,past
254,The pandas climbed trees .,past
2540,The sharks swam frantically .,past
2542,The elephant performed his trick perfectly .,past
2544,The kangaroos were friendly .,past
2546,The pandas ate slowly and methodically .,past
2555,The squirrel ran quickly .,past
2559,The kite flew high above us .,past
256,The guitar was kept in the freezer at camp .,past
2566,The cheetahs ran swiftly through the Savannah .,past
2572,The cows came home early .,past
2581,The zipper got caught and I could n't zip it all the way up .,past
2582,The kites were seen flying up in the sky .,past
2586,The cow filled a whole bucket of milk .,past
2587,The tires were flat and needed to be replaced .,past
259,Squirrels jumped off my deck .,past
260,The peacocks showed off their feathers to the peahens .,past
2602,Lamps lightened my way through the dark street .,past
2603,The kangaroo was seen jumping along with the rest of them .,past
2604,A trumpet sounded awful being played by an amateur .,past
2606,The dolphin gave a great show at the waterpark .,past
2611,A fox tried to steal our chicken eggs last night .,past
2612,The piano was too heavy to move around without extra help .,past
2616,A shirt was too small for his chest .,past
2618,The knives were sharp and ready to cut into the meat .,past
2619,A fence kept the angry dogs away from the children .,past
2621,The pigeons kept attempting to steal french fries from the tourists .,past
2623,The guitar was out of tune !!! making an awful noise .,past
2628,The pig The pig loved to root around in the mud .,past
2631,Camels Camels carried supplies from place to place .,past
2634,The guitars The guitars made a loud strumming noise .,past
2636,The kangaroos The kangaroos were in a boxing match with each other .,past
2638,The bicycle The bicycle was a healthy alternative to driving .,past
264,The lamps needed dusting .,past
2645,The clock The clock stuck midnight .,past
2646,The gorilla The gorilla pounded his chest fiercely .,past
2647,The rabbits The rabbits loved carrots .,past
2649,A squirrel A squirrel ran up the tree .,past
265,The owl hooted mysteriously .,past
2654,The bear The bear came to the campsite looking for food .,past
2656,The penguins The penguins loved to slide on their bellies .,past
2659,A trumpet A trumpet began the race .,past
266,A cow chewed her cud .,past
2662,The boat The boat was not a sound investment .,past
2664,The towels The towels were hung on on the clothesline to dry .,past
2665,The marble The marble was blue .,past
2667,The fences The fences kept intruders out .,past
2670,The owls The owls hooted far too much .,past
2673,The piano The piano played smooth classical music .,past
2675,The dog The dog ate my homework .,past
2678,The television was hooked up to a cable system .,past
2679,The turtles sunned on the beach .,past
268,The cars were parked too close together .,past
2680,A bicycle had a flat tire .,past
2682,The gorilla ate a banana .,past
2683,The camels stopped for water .,past
2684,The penguin lived in a cold climate .,past
2685,Pigeons carried messages .,past
2687,The couch was overstuffed .,past
2688,The boats ran aground .,past
2689,A skunk crossed the road .,past
2691,Trumpets announced the king 's arrival .,past
2693,The peacocks were very colorful .,past
2695,The lamp was lit each evening .,past
2698,The bear ate some berries .,past
270,A kite got stuck in a tree .,past
2702,The guitar was out of tune .,past
2703,The squirrel carried a walnut .,past
2704,The zippers were used in the production of jackets .,past
2705,The butterfly spread its wings .,past
2708,The towel hung on the rack .,past
2709,The beds were identical .,past
271,The penguins did n't get cold .,past
2710,The toilets were flushed .,past
2711,A cat caught the mouse .,past
2712,Fences were built to maintain property .,past
2714,The cows were milked twice daily .,past
2718,The fox chased the rabbit .,past
2723,The toilets were dirty,past
2726,The pig was in a pen,past
2727,The fence had paint all over it,past
2729,The footballs were leather,past
2732,The butterfly flew away,past
2733,The couches were sold,past
2734,The cheetahs had spots,past
2736,Dolphins auditioned for the new Flipper movie,past
2738,The owl said Who,past
2741,The chair was hard,past
2742,The shark ate her leg,past
2743,The lions ate all the smaller animals,past
2750,The bicycle had wheels,past
2755,The knives were sharp,past
2756,The kite flew high,past
2757,The computers were laptops,past
2759,The towels were too wet,past
2760,The tire was round,past
2761,The penguins wobbled home,past
2762,The panda had babies in the zoo,past
2763,The peacocks had big tails,past
