id,sentence,tense/aspect
1002,The lamp was old .,past
1003,The pigs ate slop .,past
1005,The televisions were all turned on .,past
1008,The rabbits ate the carrots .,past
101,The zippers were unzipped .,past
1014,The turtles were safe .,past
1015,The shark was graceful .,past
1017,The guitars were on sale .,past
1019,The fence was made of stone .,past
1020,Marbles were all over the floor .,past
1023,A towel was crumpled on the floor .,past
1026,The knife was covered in jelly .,past
1027,The tires were flat .,past
103,The shirts were washed .,past
1037,The penguins waddled .,past
1039,The light bulb was green .,past
104,The cheetahs had spots .,past
1042,The peacocks strutted .,past
1047,The lamp was broken,past
1054,The sharks stayed away from the dolphins,past
1057,The pig rolled in the mud,past
106,The towel was wet .,past
1065,The tire almost fell off of my car,past
1074,The pigeon flew to the roof of the building,past
1078,The turtle poked its head out of its shell,past
1080,A cat lay in the sun,past
1088,The owls hooted all night,past
1089,The dog was outwitted by the fox,past
1092,The zipper got stuck,past
1095,A bear went through our food,past
1096,The boat sailed away,past
1097,The cows drank water,past
1103,A kite flew in the wind,past
1104,The cats fought outside,past
1105,The penguin sat in the snow,past
1106,The pig ran around the farm,past
1108,Rabbits ate carrots and lettuce,past
1109,The pianos were played,past
1110,The foxes jumped over the fence,past
1114,Cheetahs ran quickly through the wild,past
1116,A marble rolled away on the floor,past
1119,The lamps were turned off,past
112,The lion roared .,past
1120,The squirrel ate nuts,past
1121,Camels drank water in the desert,past
1123,The kangaroos ate in the field,past
1127,A toilet flushed,past
1129,The lion roared at the other lion,past
1133,The pigeon flew away,past
1137,The computer screen froze,past
1139,The dolphins played at the aquarium .,past
1140,The pigeon fell out of the sky .,past
1142,A turtle moved slowly across the grass .,past
1145,The fox ran after the hound .,past
1147,The penguins kept warm by hugging .,past
115,The guitars were tuned .,past
1150,The peacocks had different color tails .,past
1151,A butterfly flew around the flowers .,past
1153,A cheetah ran fast across the field .,past
1154,The elephants were hungry for peanuts .,past
1156,The owl sat quietly on top of a tree in the night .,past
1160,The pandas played at the zoo .,past
1163,A guitar was used to play the song .,past
1166,The boat hit the iceberg .,past
1167,The marble floor was very clean .,past
1169,The skunk smelled really bad .,past
117,A turtle hid in its shell .,past
1170,The clocks hands moved slowly .,past
1174,The knife was used to cut vegetables .,past
1175,The lions moved in packs .,past
118,The squirrel ate nuts .,past
1180,The pianos played a lovely melody .,past
1181,The couch was very relaxing .,past
1182,A camel moved slowly across the desert .,past
1186,A gorilla wanted a banana to eat .,past
1187,A rabbit ate some carrots .,past
1188,The cheetahs were nearby .,past
1189,Owls screeched .,past
119,The camels were thirsty .,past
1190,The penguin was cold .,past
1193,The tires were new .,past
1195,The lamps were fancy .,past
1196,The bed was comfortable .,past
1197,The lion roared .,past
1198,The gorillas were big .,past
1202,A shirt was bought .,past
1204,A computer was sold .,past
1208,A toilet was used .,past
1209,The bears were hungry .,past
1210,Towels were brought in .,past
1211,The piano was displayed .,past
1212,A guitar was played .,past
1213,The pig ate mush .,past
1214,Kites were flown high .,past
1216,A boat was sailing by .,past
1217,The car was parked nearby .,past
1218,Foxes were seen .,past
122,The chair was soft .,past
1220,The televisions were on .,past
1221,The trumpet was played loudly .,past
1224,The marbles were new .,past
1225,The knife was used during dinner .,past
1226,The bicycles were stolen .,past
1229,The couches were imported .,past
123,The marble was round .,past
1230,A skunk smelled .,past
1231,The cat jumped on the furniture .,past
1232,A football was thrown .,past
1234,The kangaroo jumped .,past
1236,A marble A marble rolled across the floor .,past
1245,A shark A shark was spotted off the end of the pier .,past
1248,The cheetahs The cheetahs lounged in the tall grass .,past
125,The kangaroo jumped .,past
1253,The foxes The foxes played in the meadow as we watched .,past
1256,The cars The cars involved in the accident were totaled .,past
1257,The dogs The dogs barked at the mailman .,past
1262,The boats The boats raced for the finish line at the annual race .,past
1274,A dolphin A dolphin got caught in our fishing nets .,past
128,The penguins were extinct .,past
1282,The lamps all went out at once .,past
1284,A pigeon landed on the park bench .,past
1285,The clock struck midnight .,past
1286,The bed was very comfortable .,past
1288,Towels hung from the rack .,past
1289,A penguin was brought to our zoo last week .,past
129,The knife was sharp .,past
1291,The couches were lined up in a row .,past
1292,The dog brought me his ball .,past
1293,The footballs were used often .,past
1294,The lions lazed about .,past
1296,The fox sprang away quickly .,past
1297,The kites flew high .,past
1299,A pig looked at me from afar .,past
1300,The dolphin was very playful with its trainer .,past
1301,A piano sat in the middle of the music room .,past
1302,The gorilla beat his chest .,past
1303,The squirrels climbed the trees .,past
1305,The guitars all sounded great .,past
1308,A butterfly landed on my shoulder .,past
1309,The knives were sharpened yesterday .,past
1310,The skunks hid in the tall grass .,past
1311,The cheetah demonstrated its speed .,past
1313,The zipper got stuck on my clothes .,past
1314,The peacocks showed their plumage .,past
1318,The owls were noisy at night .,past
1319,A boat sat in the middle of the lake for hours .,past
132,The butterflies flew around .,past
1322,The toilet overflowed once in a while .,past
1323,The pandas seemed playful in the exhibit .,past
1326,Cows were everywhere in the country .,past
1328,The computer refused to turn on .,past
133,The pig was sloppy .,past
1330,The tire Went flat,past
1331,Kites Soared above,past
1333,A boat Cruised along the coast,past
1342,A skunk Sprayed his smell,past
1345,The dog Slept all day,past
1347,The television Stayed on all night,past
1349,The chairs Matched the table,past
1351,The sharks Ate the fish,past
1352,Towels Were folded on the counter,past
1353,The elephant Went to the water,past
1355,The penguins Skidded across the snow,past
1356,A panda Ate bamboo,past
1358,A couch Sagged under weight,past
1359,Bears Ate the honey,past
1361,The kangaroo Jumped over the fence,past
1362,Cheetahs Sprinted up the path,past
1366,The pigeons Ate all of the crumbs,past
137,The bear was hungry .,past
1370,The bed Creaked when I jumped on it,past
1371,The owls Hooted from their tree,past
1372,Butterflies Fluttered around the flowers,past
1376,Pigs Snorted in their cage,past
1377,A car Came to a stop,past
1380,The skunks The skunks were in the yard,past
139,The cars were fast .,past
140,A tire went flat .,past
141,The boats were sailing .,past
142,The lamp was on .,past
1422,The pig The pig was in the pen,past
143,The owls hooted at night .,past
144,A kangaroo jumped across the road .,past
145,The bed was made for the guest .,past
1459,The sharks turned over the small boat .,past
146,Squirrels gathered nuts for the winter .,past
1463,The boat came untied at the dock .,past
1480,The pigeon was on top of the building .,past
1487,A skunk was out in the woods .,past
149,The television was turned onto the local news .,past
1490,The piano was in the corner .,past
1492,The elephant and the baby elephant were fun to see .,past
1493,The penguins looked cute in the movie .,past
1496,A cat was outside of our house .,past
1497,The cows were in the field .,past
150,The dogs barked at the mailman .,past
151,The gorilla scratched himself .,past
1511,The shirt looked very good on him .,past
1512,A marble was found on the floor .,past
1514,The knife was found at the scene .,past
1515,A bear was spotted on the hiking trail .,past
1518,A tire was flat and I could not leave .,past
152,The fences kept out the squirrels .,past
153,A clock was striking midnight .,past
154,An elephant trampled the ground .,past
155,Boats were anchored in the harbor .,past
156,The dolphin jumped into the air .,past
1568,The sharks circled the blood in the water .,past
157,Lamps were turned on at the sound of shouting .,past
1571,A clock ticked on the wall .,past
1572,Knives flew through the air at the target .,past
1573,The light bulb was blown .,past
1575,The footballs sat in the closet .,past
1577,The shirt had a stain on the front .,past
1579,The cat slept on the couch .,past
158,A light bulb was fried and needed replacing .,past
1580,The bear growled at the man .,past
1581,A kite fell from the sky .,past
1582,Chairs surrounded the table .,past
1583,The fox sneaked through the forest .,past
1585,The owls sat in the tree .,past
1586,The penguins waddled over the ice .,past
1587,Butterflies flew through the garden .,past
1588,A piano sat in the corner .,past
