WorkerId,SubmitTime,Answer 56,animacy,number,definiteness,tense,subject,sentence,response,rt,question_number,type,aspect,modal,be_have,sentence_id,sentence_length,original_response
A2F2ULTCYSLBLN,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,plural,definite,present,dolphin,The dolphins always travel together.,2,1465,53,target,simple,no,no,735,3,generic
A2F2ULTCYSLBLN,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,singular,definite,past,piano,The piano was old and dusty. ,2,1307,54,target,simple,no,yes,3944,4,non.generic
A2F2ULTCYSLBLN,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,singular,definite,past,cheetah,The cheetah ran very fast.,2,1995,50,target,simple,no,no,4027,3,non.generic
A2F2ULTCYSLBLN,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,singular,definite,past,rabbit,The rabbit was hopping in the yard.,2,2220,33,target,progressive,no,no,4176,5,non.generic
A2F2ULTCYSLBLN,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,singular,indefinite,present,couch,A couch is for sitting.,1,2321,39,target,simple,no,yes,28,3,generic
A2F2ULTCYSLBLN,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,singular,definite,past,skunk,The skunk was smelling pretty funky today.,2,1211,29,target,progressive,no,no,2064,5,non.generic
A2F2ULTCYSLBLN,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,singular,definite,past,butterfly,The butterfly had pretty wings.,2,1510,28,target,simple,no,yes,753,3,non.generic
A2F2ULTCYSLBLN,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,plural,indefinite,present,zipper,Zippers are the best fastener for jeans because they are sturdy.,1,3283,25,target,simple,no,yes,219,10,generic
A2F2ULTCYSLBLN,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,singular,definite,present,light bulb,The light bulb needs changing..,2,1507,24,target,simple,no,no,286,2,non.generic
A2F2ULTCYSLBLN,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,plural,definite,past,football,The footballs were being thrown to the crowd.,2,1852,27,target,progressive,no,no,1481,6,non.generic
A2F2ULTCYSLBLN,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,singular,definite,present,computer,The computer saves us a lot of time.,2,1641,26,target,simple,no,no,2637,6,non.generic
A2F2ULTCYSLBLN,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,plural,definite,past,shark,The sharks Ate the fish,2,1718,21,target,simple,no,no,1351,3,non.generic
