id,sentence,tense,aspect
1002,The lamp was old .,past,simple
1003,The pigs ate slop .,past,simple
1005,The televisions were all turned on .,past,simple
1008,The rabbits ate the carrots .,past,simple
101,The zippers were unzipped .,past,simple
1014,The turtles were safe .,past,simple
1015,The shark was graceful .,past,simple
1017,The guitars were on sale .,past,simple
1019,The fence was made of stone .,past,simple
1020,Marbles were all over the floor .,past,simple
1023,A towel was crumpled on the floor .,past,simple
1026,The knife was covered in jelly .,past,simple
1027,The tires were flat .,past,simple
103,The shirts were washed .,past,simple
1037,The penguins waddled .,past,simple
1039,The light bulb was green .,past,simple
104,The cheetahs had spots .,past,simple
1042,The peacocks strutted .,past,simple
1047,The lamp was broken,past,simple
1054,The sharks stayed away from the dolphins,past,simple
1057,The pig rolled in the mud,past,simple
106,The towel was wet .,past,simple
1065,The tire almost fell off of my car,past,simple
1074,The pigeon flew to the roof of the building,past,simple
1078,The turtle poked its head out of its shell,past,simple
1080,A cat lay in the sun,past,simple
1088,The owls hooted all night,past,simple
1089,The dog was outwitted by the fox,past,simple
1092,The zipper got stuck,past,simple
1095,A bear went through our food,past,simple
1096,The boat sailed away,past,simple
1097,The cows drank water,past,simple
1103,A kite flew in the wind,past,simple
1104,The cats fought outside,past,simple
1105,The penguin sat in the snow,past,simple
1106,The pig ran around the farm,past,simple
1108,Rabbits ate carrots and lettuce,past,simple
1109,The pianos were played,past,simple
1110,The foxes jumped over the fence,past,simple
1114,Cheetahs ran quickly through the wild,past,simple
1116,A marble rolled away on the floor,past,simple
1119,The lamps were turned off,past,simple
112,The lion roared .,past,simple
1120,The squirrel ate nuts,past,simple
1121,Camels drank water in the desert,past,simple
1123,The kangaroos ate in the field,past,simple
1127,A toilet flushed,past,simple
1129,The lion roared at the other lion,past,simple
1133,The pigeon flew away,past,simple
1137,The computer screen froze,past,simple
1139,The dolphins played at the aquarium .,past,simple
1140,The pigeon fell out of the sky .,past,simple
1142,A turtle moved slowly across the grass .,past,simple
1145,The fox ran after the hound .,past,simple
1147,The penguins kept warm by hugging .,past,simple
115,The guitars were tuned .,past,simple
1150,The peacocks had different color tails .,past,simple
1151,A butterfly flew around the flowers .,past,simple
1153,A cheetah ran fast across the field .,past,simple
1154,The elephants were hungry for peanuts .,past,simple
1156,The owl sat quietly on top of a tree in the night .,past,simple
1160,The pandas played at the zoo .,past,simple
1163,A guitar was used to play the song .,past,simple
1166,The boat hit the iceberg .,past,simple
1167,The marble floor was very clean .,past,simple
1169,The skunk smelled really bad .,past,simple
117,A turtle hid in its shell .,past,simple
1170,The clocks hands moved slowly .,past,simple
1174,The knife was used to cut vegetables .,past,simple
1175,The lions moved in packs .,past,simple
118,The squirrel ate nuts .,past,simple
1180,The pianos played a lovely melody .,past,simple
1181,The couch was very relaxing .,past,simple
1182,A camel moved slowly across the desert .,past,simple
1186,A gorilla wanted a banana to eat .,past,simple
1187,A rabbit ate some carrots .,past,simple
1188,The cheetahs were nearby .,past,simple
1189,Owls screeched .,past,simple
119,The camels were thirsty .,past,simple
1190,The penguin was cold .,past,simple
1193,The tires were new .,past,simple
1195,The lamps were fancy .,past,simple
1196,The bed was comfortable .,past,simple
1197,The lion roared .,past,simple
1198,The gorillas were big .,past,simple
1202,A shirt was bought .,past,simple
1204,A computer was sold .,past,simple
1208,A toilet was used .,past,simple
1209,The bears were hungry .,past,simple
1210,Towels were brought in .,past,simple
1211,The piano was displayed .,past,simple
1212,A guitar was played .,past,simple
1213,The pig ate mush .,past,simple
1214,Kites were flown high .,past,simple
1216,A boat was sailing by .,past,simple
1217,The car was parked nearby .,past,simple
1218,Foxes were seen .,past,simple
122,The chair was soft .,past,simple
1220,The televisions were on .,past,simple
1221,The trumpet was played loudly .,past,simple
1224,The marbles were new .,past,simple
1225,The knife was used during dinner .,past,simple
1226,The bicycles were stolen .,past,simple
1229,The couches were imported .,past,simple
123,The marble was round .,past,simple
1230,A skunk smelled .,past,simple
1231,The cat jumped on the furniture .,past,simple
1232,A football was thrown .,past,simple
1234,The kangaroo jumped .,past,simple
1236,A marble A marble rolled across the floor .,past,simple
1245,A shark A shark was spotted off the end of the pier .,past,simple
1248,The cheetahs The cheetahs lounged in the tall grass .,past,simple
125,The kangaroo jumped .,past,simple
1253,The foxes The foxes played in the meadow as we watched .,past,simple
1256,The cars The cars involved in the accident were totaled .,past,simple
1257,The dogs The dogs barked at the mailman .,past,simple
1262,The boats The boats raced for the finish line at the annual race .,past,simple
1274,A dolphin A dolphin got caught in our fishing nets .,past,simple
128,The penguins were extinct .,past,simple
1282,The lamps all went out at once .,past,simple
1284,A pigeon landed on the park bench .,past,simple
1285,The clock struck midnight .,past,simple
1286,The bed was very comfortable .,past,simple
1288,Towels hung from the rack .,past,simple
1289,A penguin was brought to our zoo last week .,past,simple
129,The knife was sharp .,past,simple
1291,The couches were lined up in a row .,past,simple
1292,The dog brought me his ball .,past,simple
1293,The footballs were used often .,past,simple
1294,The lions lazed about .,past,simple
1296,The fox sprang away quickly .,past,simple
1297,The kites flew high .,past,simple
1299,A pig looked at me from afar .,past,simple
1300,The dolphin was very playful with its trainer .,past,simple
1301,A piano sat in the middle of the music room .,past,simple
1302,The gorilla beat his chest .,past,simple
1303,The squirrels climbed the trees .,past,simple
1305,The guitars all sounded great .,past,simple
1308,A butterfly landed on my shoulder .,past,simple
1309,The knives were sharpened yesterday .,past,simple
1310,The skunks hid in the tall grass .,past,simple
1311,The cheetah demonstrated its speed .,past,simple
1313,The zipper got stuck on my clothes .,past,simple
1314,The peacocks showed their plumage .,past,simple
1318,The owls were noisy at night .,past,simple
1319,A boat sat in the middle of the lake for hours .,past,simple
132,The butterflies flew around .,past,simple
1322,The toilet overflowed once in a while .,past,simple
1323,The pandas seemed playful in the exhibit .,past,simple
1326,Cows were everywhere in the country .,past,simple
1328,The computer refused to turn on .,past,simple
133,The pig was sloppy .,past,simple
1330,The tire Went flat,past,simple
1331,Kites Soared above,past,simple
1333,A boat Cruised along the coast,past,simple
1342,A skunk Sprayed his smell,past,simple
1345,The dog Slept all day,past,simple
1347,The television Stayed on all night,past,simple
1349,The chairs Matched the table,past,simple
1351,The sharks Ate the fish,past,simple
1352,Towels Were folded on the counter,past,simple
1353,The elephant Went to the water,past,simple
1355,The penguins Skidded across the snow,past,simple
1356,A panda Ate bamboo,past,simple
1358,A couch Sagged under weight,past,simple
1359,Bears Ate the honey,past,simple
1361,The kangaroo Jumped over the fence,past,simple
1362,Cheetahs Sprinted up the path,past,simple
1366,The pigeons Ate all of the crumbs,past,simple
137,The bear was hungry .,past,simple
1370,The bed Creaked when I jumped on it,past,simple
1371,The owls Hooted from their tree,past,simple
1372,Butterflies Fluttered around the flowers,past,simple
1376,Pigs Snorted in their cage,past,simple
1377,A car Came to a stop,past,simple
1380,The skunks The skunks were in the yard,past,simple
139,The cars were fast .,past,simple
140,A tire went flat .,past,simple
141,The boats were sailing .,past,simple
142,The lamp was on .,past,simple
1422,The pig The pig was in the pen,past,simple
143,The owls hooted at night .,past,simple
144,A kangaroo jumped across the road .,past,simple
145,The bed was made for the guest .,past,simple
1459,The sharks turned over the small boat .,past,simple
146,Squirrels gathered nuts for the winter .,past,simple
1463,The boat came untied at the dock .,past,simple
1480,The pigeon was on top of the building .,past,simple
1487,A skunk was out in the woods .,past,simple
149,The television was turned onto the local news .,past,simple
1490,The piano was in the corner .,past,simple
1492,The elephant and the baby elephant were fun to see .,past,simple
1493,The penguins looked cute in the movie .,past,simple
1496,A cat was outside of our house .,past,simple
1497,The cows were in the field .,past,simple
150,The dogs barked at the mailman .,past,simple
151,The gorilla scratched himself .,past,simple
1511,The shirt looked very good on him .,past,simple
1512,A marble was found on the floor .,past,simple
1514,The knife was found at the scene .,past,simple
1515,A bear was spotted on the hiking trail .,past,simple
1518,A tire was flat and I could not leave .,past,simple
152,The fences kept out the squirrels .,past,simple
153,A clock was striking midnight .,past,simple
154,An elephant trampled the ground .,past,simple
155,Boats were anchored in the harbor .,past,simple
156,The dolphin jumped into the air .,past,simple
1568,The sharks circled the blood in the water .,past,simple
157,Lamps were turned on at the sound of shouting .,past,simple
1571,A clock ticked on the wall .,past,simple
1572,Knives flew through the air at the target .,past,simple
1573,The light bulb was blown .,past,simple
1575,The footballs sat in the closet .,past,simple
1577,The shirt had a stain on the front .,past,simple
1579,The cat slept on the couch .,past,simple
158,A light bulb was fried and needed replacing .,past,simple
