WorkerId,SubmitTime,Answer 21,Answer 22,question_number,subject,animacy,number,definiteness,type,image,sentence,response,rt
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",20,football,inanimate,plural,definite,target,match,The footballs were specially designed for professional competition.,2,6198
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",6,butterfly,animate,plural,definite,target,mismatch,The butterflies migrated down to Mexico.,1,6284
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",7,kite,inanimate,singular,indefinite,target,match,A kite flies high in the sky.,1,4288
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",4,bus,inanimate,plural,definite,example,match,The buses were blocking traffic.,1,6950
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",5,camel,animate,plural,indefinite,target,mismatch,Camels drank water in the desert,5,10564
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",2,mouse,animate,singular,indefinite,example,match,A mouse lives in my house.,1,5118
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",3,sword,inanimate,plural,indefinite,example,match,Swords are weapons.,5,4419
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",1,zebra,animate,singular,definite,example,match,The zebra is not extinct.,4,11654
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",8,penguin,animate,singular,definite,target,mismatch,The penguin lived in a cold climate.,1,4014
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",9,panda,animate,singular,indefinite,target,mismatch,A panda looks very cuddly.,2,6848
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",14,penguin,animate,plural,definite,target,mismatch,The penguins are used to cold. ,5,3890
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",15,couch,inanimate,singular,indefinite,target,mismatch,A couch has soft cushions.,1,2833
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",16,squirrel,animate,singular,definite,target,match,The squirrel gathered its nuts for the winter.,1,3367
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",17,turtle,animate,singular,indefinite,target,match,A turtle lives at the zoo,1,4052
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",10,zipper,inanimate,plural,indefinite,target,match,Zippers help hold up my pants,5,3969
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",11,tire,inanimate,plural,definite,target,match,The tires are round,5,3548
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",12,cheetah,animate,singular,definite,target,mismatch,The cheetah runs really fast.,5,3018
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",13,fence,inanimate,plural,indefinite,target,match,Fences make the yards in town look nicer.,5,4568
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",18,piano,inanimate,plural,indefinite,target,mismatch,Pianos are well tuned.,5,2833
A1BQCRF5Q76YFY,Mon Jan 19 14:11:10 PST 2015,"""english""","""""",19,kangaroo,animate,singular,definite,target,match,The kangaroo likes to jump.,2,4120
A2W3QPD493MHEI,Mon Jan 19 14:11:14 PST 2015,"""English""","""""",20,kite,inanimate,plural,indefinite,target,mismatch,Kites Soared above,1,3379
A2W3QPD493MHEI,Mon Jan 19 14:11:14 PST 2015,"""English""","""""",6,lamp,inanimate,singular,indefinite,target,mismatch,A lamp gives a soft glow.,5,2549
A2W3QPD493MHEI,Mon Jan 19 14:11:14 PST 2015,"""English""","""""",7,cheetah,animate,plural,definite,target,mismatch,The cheetahs enjoy the kill,2,6224
A2W3QPD493MHEI,Mon Jan 19 14:11:14 PST 2015,"""English""","""""",4,zebra,animate,singular,definite,example,match,The zebra is not extinct.,5,2574
A2W3QPD493MHEI,Mon Jan 19 14:11:14 PST 2015,"""English""","""""",5,bed,inanimate,plural,indefinite,target,mismatch,Beds were slept in,1,7673
