"","subject","sentence","sentence_id","animacy","number","definiteness","tense","aspect","sentence.length","modal","be.have","response"
"1","pigeon","The pigeon coos and struts.",2,"animate","singular","definite","present","simple",3,"no","no","non.generic"
"2","computer","A computer is needed in today's world.",3,"inanimate","singular","indefinite","present","simple",5,"no","no","generic"
"3","turtle","A turtle moves slowly.",14,"animate","singular","indefinite","present","simple",2,"no","no","generic"
"4","dolphin","The dolphin makes a crazy sound.",17,"animate","singular","definite","present","simple",4,"no","no","generic"
"5","football","A football was tossed at me.",18,"inanimate","singular","indefinite","past","simple",4,"no","no","non.generic"
"6","chair","A chair is overturned in the kitchen",26,"inanimate","singular","indefinite","present","simple",5,"no","no","non.generic"
"7","cheetah","The cheetah runs really fast.",29,"animate","singular","definite","present","simple",3,"no","no","non.generic"
"8","light bulb","A light bulb was dropped and exploded.",30,"inanimate","singular","indefinite","past","simple",4,"no","no","non.generic"
"9","butterfly","A butterfly circles the flower.",39,"animate","singular","indefinite","present","simple",3,"no","no","non.generic"
"10","skunk","The skunk hurried into the woods.",50,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"11","clock","The clock ticked very slowly.",55,"inanimate","singular","definite","past","simple",3,"no","no","non.generic"
"12","elephant","The elephant ate peanuts using its trunk.",56,"animate","singular","definite","past","simple",5,"no","no","non.generic"
"13","fox","The foxes burrowed in their dens.",62,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"14","bear","Bears hibernate for the winter months.",66,"animate","plural","indefinite","present","simple",5,"no","no","generic"
"15","rabbit","The rabbit scampered through the meadow.",67,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"16","light bulb","The light bulb flickered every few minutes.",77,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"17","lion","The lion roared at the people.",80,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"18","television","The televisions played the same football game.",86,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"19","shark","The sharks circled the boat.",90,"animate","plural","definite","past","simple",3,"no","no","non.generic"
"20","squirrel","Squirrels bury nuts around the forest.",91,"animate","plural","indefinite","present","simple",5,"no","no","generic"
"21","computer","The computers started slow. ",97,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"22","cat","A cat likes to meow. ",98,"animate","singular","indefinite","present","simple",3,"no","no","generic"
"23","rabbit","The rabbit hopped along the trail. ",102,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"24","shirt","The shirts were washed. ",103,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"25","cow","A cow eats grass. ",105,"animate","singular","indefinite","present","simple",2,"no","no","generic"
"26","fence","A fence marks territory. ",108,"inanimate","singular","indefinite","present","simple",2,"no","no","non.generic"
"27","skunk","Skunks stink. ",111,"animate","plural","indefinite","present","simple",1,"no","no","generic"
"28","lion","The lion roared. ",112,"animate","singular","definite","past","simple",1,"no","no","generic"
"29","turtle","A turtle hid in its shell.",117,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"30","squirrel","The squirrel ate nuts. ",118,"animate","singular","definite","past","simple",2,"no","no","non.generic"
"31","toilet","Toilets are flushed. ",120,"inanimate","plural","indefinite","present","simple",2,"no","no","generic"
"32","clock","A clock tells time. ",121,"inanimate","singular","indefinite","present","simple",2,"no","no","generic"
"33","kangaroo","The kangaroo jumped. ",125,"animate","singular","definite","past","simple",1,"no","no","non.generic"
"34","butterfly","The butterflies flew around. ",132,"animate","plural","definite","past","simple",2,"no","no","non.generic"
"35","kite","A kite flies high. ",135,"inanimate","singular","indefinite","present","simple",2,"no","no","non.generic"
"36","trumpet","Trumpets sound loud. ",136,"inanimate","plural","indefinite","present","simple",2,"no","no","generic"
"37","tire","A tire went flat.",140,"inanimate","singular","indefinite","past","simple",2,"no","no","non.generic"
"38","boat","The boats were sailing. ",141,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"39","owl","The owls hooted at night. ",143,"animate","plural","definite","past","simple",3,"no","no","generic"
"40","kangaroo","A kangaroo jumped across the road.",144,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"41","bed","The bed was made for the guest.",145,"inanimate","singular","definite","past","simple",5,"no","no","non.generic"
"42","squirrel","Squirrels gathered nuts for the winter.",146,"animate","plural","indefinite","past","simple",5,"no","no","generic"
"43","dog","The dogs barked at the mailman.",150,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"44","gorilla","The gorilla scratched himself.",151,"animate","singular","definite","past","simple",2,"no","no","non.generic"
"45","fence","The fences kept out the squirrels.",152,"inanimate","plural","definite","past","simple",4,"no","no","non.generic"
"46","clock","A clock was striking midnight.",153,"inanimate","singular","indefinite","past","simple",3,"no","no","non.generic"
"47","elephant","An elephant trampled the ground.",154,"animate","singular","indefinite","past","simple",3,"no","no","non.generic"
"48","boat","Boats were anchored in the harbor.",155,"inanimate","plural","indefinite","past","simple",5,"no","no","non.generic"
"49","dolphin","The dolphin jumped into the air.",156,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"50","light bulb","A light bulb was fried and needed replacing.",158,"inanimate","singular","indefinite","past","simple",5,"no","no","non.generic"
"51","trumpet","The trumpets blared to announce the king.",160,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"52","butterfly","The butterfly flew over the hill.",161,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"53","football","The footballs were spiked into the ground.",164,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"54","chair","The chair creaked with age.",167,"inanimate","singular","definite","past","simple",3,"no","no","non.generic"
"55","cheetah","Cheetahs raced across the plains.",168,"animate","plural","indefinite","past","simple",4,"no","no","non.generic"
"56","guitar","The guitars were mounted on the wall.",171,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"57","shark","A shark caught a seal.",175,"animate","singular","indefinite","past","simple",3,"no","no","non.generic"
"58","owl","An owl hooted into the night.",178,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"59","cat","The cat meowed for food.",179,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"60","rabbit","The rabbits jumped around on the lawn.",180,"animate","plural","definite","past","simple",5,"no","no","non.generic"
"61","zipper","The zipper was zipped all the way.",183,"inanimate","singular","definite","past","simple",5,"no","no","non.generic"
"62","skunk","The skunks sprayed each other.",185,"animate","plural","definite","past","simple",3,"no","no","non.generic"
"63","fox","Foxes ran from the hunters.",187,"animate","plural","indefinite","past","simple",4,"no","no","non.generic"
"64","turtle","Turtles wandered through the grass.",188,"animate","plural","indefinite","past","simple",4,"no","no","generic"
"65","tire","The tires screeched against the ground.",189,"inanimate","plural","definite","past","simple",4,"no","no","non.generic"
"66","trumpet","The trumpet blared forth the fanfare.",213,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"67","fence","The fences ran across the rolling hills.",215,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"68","toilet","The toilet was clogged up again.",222,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"69","shark","The sharks circled the prey.",238,"animate","plural","definite","past","simple",3,"no","no","non.generic"
"70","shirt","A shirt must be buttoned for modesty.",240,"inanimate","singular","indefinite","present","simple",5,"yes","no","generic"
"71","boat","Boats should be properly maintained.",242,"inanimate","plural","indefinite","present","simple",4,"yes","no","generic"
"72","bear","Bears hibernate in the winter.",244,"animate","plural","indefinite","present","simple",4,"no","no","generic"
"73","dog","A dog barked at the passerby.",247,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"74","pig","The pig wallowed in the mud.",248,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"75","zipper","The zippers were broken.",249,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"76","marble","The marbles rolled across the floor.",250,"inanimate","plural","definite","past","simple",4,"no","no","non.generic"
"77","fence","A fence helps with privacy.",253,"inanimate","singular","indefinite","present","simple",3,"no","no","generic"
"78","panda","The pandas climbed trees.",254,"animate","plural","definite","past","simple",2,"no","no","non.generic"
"79","tire","Tires must be kept inflated.",257,"inanimate","plural","indefinite","present","simple",4,"yes","no","generic"
"80","squirrel","Squirrels jumped off my deck.",259,"animate","plural","indefinite","past","simple",4,"no","no","non.generic"
