"","subject","sentence","sentence_id","animacy","number","definiteness","tense","aspect","sentence.length","modal","be.have","response"
"81","butterfly","A butterfly searches for nectar and pollen.",263,"animate","singular","indefinite","present","simple",5,"no","no","non.generic"
"82","lamp","The lamps needed dusting.",264,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"83","owl","The owl hooted mysteriously.",265,"animate","singular","definite","past","simple",2,"no","no","non.generic"
"84","cow","A cow chewed her cud.",266,"animate","singular","indefinite","past","simple",3,"no","no","non.generic"
"85","car","The cars were parked too close together.",268,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"86","bed","A bed should be made regularly.",269,"inanimate","singular","indefinite","present","simple",4,"yes","no","generic"
"87","kite","A kite got stuck in a tree.",270,"inanimate","singular","indefinite","past","simple",5,"no","no","non.generic"
"88","penguin","The penguins didn't get cold.",271,"animate","plural","definite","past","simple",3,"no","no","non.generic"
"89","cat","The cats stretched in the sunlight.",273,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"90","lion","Lions live in prides.",274,"animate","plural","indefinite","present","simple",3,"no","no","generic"
"91","gorilla","The gorilla beat its chest in anger.",278,"animate","singular","definite","past","simple",5,"no","no","generic"
"92","toilet","A toilet should be cleaned regularly.",279,"inanimate","singular","indefinite","present","simple",4,"yes","no","generic"
"93","pigeon","A pigeon walked across the parking lot.",280,"animate","singular","indefinite","past","simple",5,"no","no","non.generic"
"94","rabbit","Rabbits breed like, well rabbits.",281,"animate","plural","indefinite","present","simple",4,"no","no","generic"
"95","camel","A camel walks across the desert.",284,"animate","singular","indefinite","present","simple",4,"no","no","non.generic"
"96","light bulb","The light bulb needs changing..",286,"inanimate","singular","definite","present","simple",2,"no","no","non.generic"
"97","chair","The chair is pushed under the table",288,"inanimate","singular","definite","present","simple",5,"no","no","non.generic"
"98","toilet","The toilets need to be cleaned often",293,"inanimate","plural","definite","present","simple",5,"no","no","non.generic"
"99","tire","Tires are made of rubber",297,"inanimate","plural","indefinite","present","simple",4,"no","no","generic"
"100","knife","A knife is used to cut meat",300,"inanimate","singular","indefinite","present","simple",5,"no","no","generic"
"101","clock","The clock tells time",303,"inanimate","singular","definite","present","simple",2,"no","no","generic"
"102","elephant","Elephants never forget",306,"animate","plural","indefinite","present","simple",2,"no","no","generic"
"103","penguin","The penguin  can not fly",310,"animate","singular","definite","present","simple",4,"yes","no","generic"
"104","dolphin","A dolphin swims in the ocean",311,"animate","singular","indefinite","present","simple",4,"no","no","generic"
"105","lamp","The lamps are tuned on at night",312,"inanimate","plural","definite","present","simple",5,"no","no","non.generic"
"106","car","Cars are used as transportations",315,"inanimate","plural","indefinite","present","simple",4,"no","no","generic"
"107","cheetah","A cheetah runs fast",316,"animate","singular","indefinite","present","simple",2,"no","no","generic"
"108","rabbit","A rabbit lives in my backyard",320,"animate","singular","indefinite","present","simple",4,"no","no","non.generic"
"109","owl","Owls only hunt at night",321,"animate","plural","indefinite","present","simple",4,"no","no","generic"
"110","panda","The panda eats bamboo everyday",322,"animate","singular","definite","present","simple",3,"no","no","non.generic"
"111","dog","The dogs like to chase cats",323,"animate","plural","definite","present","simple",4,"no","no","non.generic"
"112","kangaroo","The kangaroo hops all over the town",325,"animate","singular","definite","present","simple",5,"no","no","non.generic"
"113","fence","Fences keep out the dogs",329,"inanimate","plural","indefinite","present","simple",4,"no","no","non.generic"
"114","cat","A cat licks his fur",330,"animate","singular","indefinite","present","simple",3,"no","no","non.generic"
"115","piano","The piano needed tuning",335,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"116","gorilla","Gorillas swung from branches.",336,"animate","plural","indefinite","past","simple",3,"no","no","non.generic"
"117","toilet","The toilets need some scrubbing.",337,"inanimate","plural","definite","present","simple",3,"no","no","non.generic"
"118","dolphin","The dolphins swam with the humans.",339,"animate","plural","definite","present","simple",4,"no","no","non.generic"
"119","tire","The tire needed changing.",341,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"120","penguin","A penguin slid down the ice.",342,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"121","fox","A fox hunted the rabbit.",343,"animate","singular","indefinite","past","simple",3,"no","no","non.generic"
"122","lion","Lions proweled the lands.",345,"animate","plural","indefinite","past","simple",3,"no","no","non.generic"
"123","camel","A camel can trek long distances.",346,"animate","singular","indefinite","present","simple",4,"yes","no","generic"
"124","marble","The marbles spilled all over.",347,"inanimate","plural","definite","past","simple",3,"no","no","non.generic"
"125","butterfly","The butterfly almost got caught.",348,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"126","towel","The towels needed drying.",349,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"127","shirt","Shirts need to fit.",350,"inanimate","plural","indefinite","present","simple",3,"no","no","generic"
"128","chair","Chairs are needed here.",351,"inanimate","plural","indefinite","present","simple",3,"no","no","generic"
"129","fence","The fence keeps animals out.",352,"inanimate","singular","definite","present","simple",3,"no","no","non.generic"
"130","turtle","The turtle went back in it's shell.",354,"animate","singular","definite","past","simple",5,"no","no","non.generic"
"131","bear","The bear looked for it's cub.",355,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"132","light bulb","A light bulb exploded somewhere.",356,"inanimate","singular","indefinite","past","simple",2,"no","no","generic"
"133","skunk","The skunks sprayed everywhere.",357,"animate","plural","definite","past","simple",2,"no","no","non.generic"
"134","peacock","A peacock showed it's colors.",358,"animate","singular","indefinite","past","simple",3,"no","no","non.generic"
"135","squirrel","The squirrels ran across the road.",361,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"136","cat","Cats make excellent pets.",367,"animate","plural","indefinite","present","simple",3,"no","no","generic"
"137","couch","A couch turned into a bed.",368,"inanimate","singular","indefinite","past","simple",4,"no","no","non.generic"
"138","cow","The cows need milking.",369,"animate","plural","definite","present","simple",2,"no","no","non.generic"
"139","shark","A shark tried to attack.",370,"animate","singular","indefinite","past","simple",3,"no","no","non.generic"
"140","cheetah","The cheetah ran across the plains",371,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"141","panda","The panda ate bamboo.",373,"animate","singular","definite","past","simple",2,"no","no","non.generic"
"142","trumpet","Trumpets are played by the band.",374,"inanimate","plural","indefinite","present","simple",5,"no","no","generic"
"143","lamp","The lamps needed changing.",376,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"144","owl","The owls hooted loudly.",378,"animate","plural","definite","past","simple",2,"no","no","non.generic"
"145","car","A car needs gas",379,"inanimate","singular","indefinite","present","simple",2,"no","no","generic"
"146","boat","The boats sailed peacefully.",381,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"147","zipper","Zippers can often break.",382,"inanimate","plural","indefinite","present","simple",3,"yes","no","generic"
"148","bicycle","The bicycles are stored indoors.",391,"inanimate","plural","definite","present","simple",3,"no","no","non.generic"
"149","camel","The camels provide transportation in the desert.",394,"animate","plural","definite","present","simple",5,"no","no","generic"
"150","light bulb","The light bulb is burned out.",395,"inanimate","singular","definite","present","simple",3,"no","no","non.generic"
"151","rabbit","The rabbit ate the carrot.",398,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"152","cheetah","The cheetah can outrun the man.",400,"animate","singular","definite","present","simple",4,"yes","no","generic"
"153","kite","Kites fly high.",402,"inanimate","plural","indefinite","present","simple",2,"no","no","generic"
"154","couch","The couches fold out into a bed.",405,"inanimate","plural","definite","present","simple",5,"no","no","non.generic"
"155","penguin","A penguin can't fly.",406,"animate","singular","indefinite","present","simple",2,"yes","no","generic"
"156","owl","The owl hunts in the night.",407,"animate","singular","definite","present","simple",4,"no","no","generic"
"157","computer","The computer stopped working.",414,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"158","dolphin","The dolphins swim next to the boat.",416,"animate","plural","definite","present","simple",5,"no","no","non.generic"
"159","panda","Pandas eat bamboo.",417,"animate","plural","indefinite","present","simple",2,"no","no","generic"
"160","zipper","The zipper is broken.",418,"inanimate","singular","definite","present","simple",2,"no","no","non.generic"
"161","fox","The foxes traveled in a pack.",419,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"162","dog","A dog barks at the mailman.",421,"animate","singular","indefinite","present","simple",4,"no","no","non.generic"
"163","squirrel","Squirrels hide their nuts.",425,"animate","plural","indefinite","present","simple",3,"no","no","generic"
"164","kangaroo","A kangaroo jumps around.",427,"animate","singular","indefinite","present","simple",2,"no","no","non.generic"
"165","skunk","The skunk sprayed the people.",428,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"166","skunk","A skunk smells terrible.",437,"animate","singular","indefinite","present","simple",2,"no","no","generic"
"167","turtle","Turtles move slow.",439,"animate","plural","indefinite","present","simple",2,"no","no","generic"
"168","cheetah","Cheetahs run very fast.",440,"animate","plural","indefinite","present","simple",3,"no","no","generic"
"169","bed","Beds are made to sleep on.",446,"inanimate","plural","indefinite","present","simple",5,"no","no","generic"
"170","cow","A cow is mooing.",450,"animate","singular","indefinite","present","simple",2,"no","no","non.generic"
"171","light bulb","A light bulb needs replaced",452,"inanimate","singular","indefinite","present","simple",2,"no","no","non.generic"
"172","zipper","The zipper is stuck.",454,"inanimate","singular","definite","present","simple",2,"no","no","non.generic"
"173","boat","Boats run fast.",455,"inanimate","plural","indefinite","present","simple",2,"no","no","generic"
"174","shirt","The shirt needs ironed.",457,"inanimate","singular","definite","present","simple",2,"no","no","non.generic"
"175","fence","The fences need repaired.",464,"inanimate","plural","definite","present","simple",2,"no","no","non.generic"
"176","computer","Computers are broken.",469,"inanimate","plural","indefinite","present","simple",2,"no","no","non.generic"
"177","couch","The couches are torn.",473,"inanimate","plural","definite","present","simple",2,"no","no","non.generic"
"178","light bulb","The light bulb burned out.",480,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"179","computer","The computer was outdated.",491,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"180","butterfly","A butterfly flutters around.",494,"animate","singular","indefinite","present","simple",2,"no","no","non.generic"
"181","cat","The cat hissed at the dog.",496,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"182","car","A car needs fuel.",498,"inanimate","singular","indefinite","present","simple",2,"no","no","generic"
"183","rabbit","The rabbit runs away.",501,"animate","singular","definite","present","simple",2,"no","no","non.generic"
"184","lion","The lion eats other animals.",506,"animate","singular","definite","present","simple",3,"no","no","generic"
"185","toilet","Toilets need to be flushed.",507,"inanimate","plural","indefinite","present","simple",4,"no","no","generic"
"186","guitar","A guitar requires skill to play.",509,"inanimate","singular","indefinite","present","simple",4,"no","no","generic"
"187","dog","Dogs like to chase cats.",510,"animate","plural","indefinite","present","simple",4,"no","no","generic"
"188","kangaroo","A kangaroo lives in Australia.",511,"animate","singular","indefinite","present","simple",3,"no","no","generic"
"189","football","The football was thrown to the player.",513,"inanimate","singular","definite","past","simple",5,"no","no","non.generic"
"190","cow","The cows provide milk and meat.",514,"animate","plural","definite","present","simple",4,"no","no","generic"
"191","zipper","The zipper fastens clothing.",515,"inanimate","singular","definite","present","simple",2,"no","no","non.generic"
"192","squirrel","A squirrel runs up the tree.",517,"animate","singular","indefinite","present","simple",4,"no","no","non.generic"
"193","bear","A bear hibernates during the winter.",518,"animate","singular","indefinite","present","simple",4,"no","no","non.generic"
"194","camel","Camels live in deserts.",520,"animate","plural","indefinite","present","simple",3,"no","no","generic"
"195","pig","The pig sleeps in the mud.",521,"animate","singular","definite","present","simple",4,"no","no","non.generic"
"196","lamp","Lamps shine brightly.",522,"inanimate","plural","indefinite","present","simple",2,"no","no","generic"
"197","skunk","The skunk sprayed.",527,"animate","singular","definite","past","simple",1,"no","no","non.generic"
"198","squirrel","The squirrel ran up the tree.",528,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"199","fence","The fences need to be repaired.",529,"inanimate","plural","definite","present","simple",4,"no","no","non.generic"
"200","couch","The couches were stained.",532,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"201","gorilla","A gorilla was spotted in the wild.",535,"animate","singular","indefinite","past","simple",5,"no","no","non.generic"
"202","rabbit","The rabbits were cooked.",536,"animate","plural","definite","past","simple",2,"no","no","non.generic"
"203","marble","The marble was installed by a contractor.",537,"inanimate","singular","definite","past","simple",5,"no","no","non.generic"
"204","lion","The lions roar.",542,"animate","plural","definite","present","simple",1,"no","no","non.generic"
"205","chair","The chairs need to be replaced.",544,"inanimate","plural","definite","present","simple",4,"no","no","non.generic"
"206","kangaroo","The kangaroos carry their babies in pouches.",547,"animate","plural","definite","present","simple",5,"no","no","generic"
"207","shark","Sharks bite.",550,"animate","plural","indefinite","present","simple",1,"no","no","generic"
"208","cow","Cows make milk.",555,"animate","plural","indefinite","present","simple",2,"no","no","generic"
"209","boat","The boat sank.",556,"inanimate","singular","definite","past","simple",1,"no","no","non.generic"
"210","guitar","The guitar needs it's strings replaced.",560,"inanimate","singular","definite","present","simple",4,"no","no","non.generic"
"211","pigeon","The pigeon ate the bread.",564,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"212","knife","The knives need to be sharpened.",567,"inanimate","plural","definite","present","simple",4,"no","no","non.generic"
"213","cheetah","The cheetahs were held in captivity.",571,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"214","marble","The marbles fell out of the bag.",572,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"215","lion","A lion roars.",573,"animate","singular","indefinite","present","simple",1,"no","no","non.generic"
"216","trumpet","The trumpet sounded pleasant.",575,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"217","skunk","A skunk stinks.",578,"animate","singular","indefinite","present","simple",1,"no","no","generic"
"218","cat","The cat jumped into my lap.",583,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"219","clock","A clock chimed 12 o'clock.",585,"inanimate","singular","indefinite","past","simple",3,"no","no","non.generic"
"220","rabbit","Rabbits hop around.",586,"animate","plural","indefinite","present","simple",2,"no","no","generic"
"221","car","Cars drive on the road.",587,"inanimate","plural","indefinite","present","simple",4,"no","no","generic"
"222","shark","A shark can bite hard.",589,"animate","singular","indefinite","present","simple",3,"yes","no","generic"
"223","television","The television is turned off.",591,"inanimate","singular","definite","present","simple",3,"no","no","non.generic"
"224","football","The footballs are put away.",592,"inanimate","plural","definite","present","simple",3,"no","no","non.generic"
"225","penguin","Penguins waddle everywhere they go.",593,"animate","plural","indefinite","present","simple",4,"no","no","generic"
"226","peacock","The peacocks wandered around the zoo.",594,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"227","light bulb","A light bulb is installed easily.",595,"inanimate","singular","indefinite","present","simple",3,"no","no","generic"
"228","dolphin","Dolphins swim in the ocean.",597,"animate","plural","indefinite","present","simple",4,"no","no","generic"
"229","squirrel","The squirrels eat nuts.",600,"animate","plural","definite","present","simple",2,"no","no","non.generic"
"230","cow","The cow eats grass.",603,"animate","singular","definite","present","simple",2,"no","no","non.generic"
"231","dog","The dog ate my ice cream.",604,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"232","kite","A kite flies high in the sky.",605,"inanimate","singular","indefinite","present","simple",5,"no","no","non.generic"
"233","gorilla","The gorilla beats his chest.",607,"animate","singular","definite","present","simple",3,"no","no","non.generic"
"234","kangaroo","The kangaroos jump around merrily.",609,"animate","plural","definite","present","simple",3,"no","no","non.generic"
"235","owl","The owl hoots at night.",613,"animate","singular","definite","present","simple",3,"no","no","non.generic"
"236","pig","A pig rolls in the mud.",614,"animate","singular","indefinite","present","simple",4,"no","no","generic"
"237","turtle","The turtles swim in the pond.",616,"animate","plural","definite","present","simple",4,"no","no","non.generic"
"238","bear","The bear growled.",617,"animate","singular","definite","past","simple",1,"no","no","non.generic"
"239","panda","Pandas stared at the visitors.",619,"animate","plural","indefinite","past","simple",4,"no","no","non.generic"
"240","peacock","The peacocks pranced along gracefully.",620,"animate","plural","definite","past","simple",3,"no","no","non.generic"
"241","lamp","A lamp stood in the corner.",621,"inanimate","singular","indefinite","past","simple",4,"no","no","non.generic"
"242","kite","A kite broke away from a boy.",622,"inanimate","singular","indefinite","past","simple",5,"no","no","non.generic"
"243","cat","Cats played on the chair.",623,"animate","plural","indefinite","past","simple",4,"no","no","non.generic"
"244","clock","Clocks decorated the wall.",624,"inanimate","plural","indefinite","past","simple",3,"no","no","non.generic"
"245","football","The footballs were kept on the sideline.",625,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"246","squirrel","The squirrels jumped from tree to tree.",626,"animate","plural","definite","past","simple",5,"no","no","non.generic"
"247","dog","The dog barked at the birds.",627,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"248","bear","A bear sniffed for food.",631,"animate","singular","indefinite","past","simple",3,"no","no","generic"
"249","dolphin","Dolphins swam near the boat.",632,"animate","plural","indefinite","past","simple",4,"no","no","non.generic"
"250","camel","The camel refused to move.",633,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"251","kangaroo","The kangaroo hopped back into the cage.",634,"animate","singular","definite","past","simple",5,"no","no","non.generic"
"252","skunk","A skunk ran across the road.",635,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"253","towel","Towels were handed to each swimmer.",636,"inanimate","plural","indefinite","past","simple",5,"no","no","non.generic"
"254","turtle","The turtles plodded along.",637,"animate","plural","definite","past","simple",2,"no","no","non.generic"
"255","boat","A boat drifted lazily along.",638,"inanimate","singular","indefinite","past","simple",3,"no","no","non.generic"
"256","bicycle","The bicycle zipped through traffic.",639,"inanimate","singular","definite","past","simple",3,"no","no","non.generic"
"257","car","A car ran out of control.",641,"inanimate","singular","indefinite","past","simple",4,"no","no","non.generic"
"258","owl","The owl sat in the tree.",642,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"259","elephant","Elephants marched through the jungle.",643,"animate","plural","indefinite","past","simple",4,"no","no","non.generic"
"260","tire","The tires screeched loudly.",644,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"261","gorilla","A gorilla stared intently.",645,"animate","singular","indefinite","past","simple",2,"no","no","non.generic"
"262","shark","Sharks circled round the prey.",646,"animate","plural","indefinite","past","simple",4,"no","no","non.generic"
"263","rabbit","The rabbit hopped quickly away.",647,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"264","fox","The foxes escaped the hounds.",648,"animate","plural","definite","past","simple",3,"no","no","non.generic"
"265","pigeon","The pigeon cooed playfully.",649,"animate","singular","definite","past","simple",2,"no","no","non.generic"
"266","couch","Couches lined the showroom floor.",650,"inanimate","plural","indefinite","past","simple",4,"no","no","non.generic"
"267","computer","A computer crashed unexpectedly.",651,"inanimate","singular","indefinite","past","simple",2,"no","no","generic"
"268","butterfly","A butterfly danced among the flowers.",652,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"269","pig","The pigs squealed in the mud.",653,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"270","cow","Cows chewed their cud.",654,"animate","plural","indefinite","past","simple",3,"no","no","non.generic"
"271","penguin","A penguin waddled towards the people.",655,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"272","trumpet","Trumpets blared to start the game.",657,"inanimate","plural","indefinite","past","simple",5,"no","no","non.generic"
"273","cheetah","The cheetahs stalked their prey.",658,"animate","plural","definite","past","simple",3,"no","no","non.generic"
"274","light bulb","Light bulbs lit up the hall.",659,"inanimate","plural","indefinite","past","simple",4,"no","no","non.generic"
"275","chair","A chair was covered in dust.",660,"inanimate","singular","indefinite","past","simple",4,"no","no","non.generic"
"276","knife","The knives were kept in the drawer.",661,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"277","guitar","The guitar played a gentle melody.",662,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"278","lion","A lion roared with pride.",663,"animate","singular","indefinite","past","simple",3,"no","no","generic"
"279","zipper","The zipper got stuck.",665,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
