WorkerId,SubmitTime,Answer 40,animacy,number,definiteness,tense,qud,context,subject,sentence,genericity,rt,question_number,type
O8PQXC9MYESVU3EECS3ZUC5F85XYVN,Wed Aug 17 10:34:07 PDT 2016,"""English""",inanimate,singular,indefinite,past,,bare,football,A football spiraled in the air.,0,2453,33,target
OPN7VEDHE9YX7KY9GOC3TLB2LGMNJF,Wed Aug 17 10:34:07 PDT 2016,"""English""",animate,plural,indefinite,progressive,Tell me what's happening.,specific,owl,Owls are hooting.,1,1526,39,target
9JULIWHTRFPKH5K5GPNL03A7FYGLBD,Wed Aug 17 10:34:07 PDT 2016,"""English""",animate,plural,definite,past,Tell me about turtles.,generic,turtle,The turtles moved slowly.,0,1454,29,target
EJGJIW3FZAN7DV7QVZJDBZAWWKCHM2,Wed Aug 17 10:34:07 PDT 2016,"""English""",inanimate,singular,indefinite,past,Tell me what's happening.,specific,microwave,A microwave heated up food.,0,814,28,target
OB1Y2XPY02A9FH76E450JQK8ZV34JK,Wed Aug 17 10:34:07 PDT 2016,"""English""",inanimate,singular,indefinite,present,,bare,kite,A kite floats in the breeze.,0,1082,25,target
2E5ZJ5MKDFR1BH1U0HFJG08N0PV55Z,Wed Aug 17 10:34:07 PDT 2016,"""English""",animate,singular,definite,progressive,Tell me about peacocks.,generic,peacock,The peacock is displaying its feathers.,1,1517,24,target
OHFO6JJII2VT56Q2XJS5B287BPO3NM,Wed Aug 17 10:34:07 PDT 2016,"""English""",inanimate,plural,indefinite,past,Tell me about toilets.,generic,toilet,Toilets flushed.,0,1340,27,target
CDNNL13H5HZZQD9BPS4HVHB8QOBI3Z,Wed Aug 17 10:34:07 PDT 2016,"""English""",inanimate,plural,indefinite,past,Tell me what's happening.,specific,ATM,ATMs dispensed money.,1,1268,26,target
OX1PCNQY9FCOMABHVQS42M27D34D1Z,Wed Aug 17 10:34:07 PDT 2016,"""English""",animate,plural,definite,present,Tell me about sharks.,generic,shark,The sharks attack swimmers.,1,1494,21,target
UYEIG5J7X4WDZ3T3123J4LP97W63OQ,Wed Aug 17 10:34:07 PDT 2016,"""English""",inanimate,plural,definite,past,,bare,computer,The computers connected to the internet.,0,1749,20,target
B5RP4V990A841TEQQY8TWMWNT5XH39,Wed Aug 17 10:34:07 PDT 2016,"""English""",inanimate,singular,indefinite,progressive,Tell me what's happening.,specific,piano,A piano is playing music.,1,1276,23,target
8W4U8QQK2AQWOSDINFR5KC02E7A5M5,Wed Aug 17 10:34:07 PDT 2016,"""English""",inanimate,plural,indefinite,progressive,,bare,light bulb,Light bulbs are burning out.,0,1270,22,target
VSJ1LB98F0SQ81BRP9HFV3AKY58QPZ,Wed Aug 17 10:34:07 PDT 2016,"""English""",animate,plural,indefinite,progressive,Tell me about dolphins.,generic,dolphin,Dolphins are swimming in a pod.,1,1118,6,target
S6929QP0DZAVPM16A4DLVNG34TF258,Wed Aug 17 10:34:07 PDT 2016,"""English""",inanimate,plural,definite,progressive,Tell me what's happening.,specific,hose,The hoses are spraying water.,0,949,7,target
C16NIR64QFGNFNOAAZBMW4GZ9S43CS,Wed Aug 17 10:34:07 PDT 2016,"""English""",animate,singular,definite,past,Tell me what's happening.,specific,kangaroo,The kangaroo carried its baby in a pouch.,1,2355,4,target
B4V19YLZXGI75Q4IW8YEV75IDKTBOW,Wed Aug 17 10:34:07 PDT 2016,"""English""",inanimate,singular,definite,progressive,,bare,boat,The boat is sailing across the sea.,0,2033,5,target
5YJK8YI3L8XSQFA3X9HCM9DI6AVJSF,Wed Aug 17 10:34:07 PDT 2016,"""English""",inanimate,plural,indefinite,present,Tell me about swords.,generic,sword,Swords are sharp.,1,6501,2,example
ITNY7UHX6Z47GZ6A4BH73QGJ1O8USY,Wed Aug 17 10:34:07 PDT 2016,"""English""",inanimate,singular,definite,past,,bare,shirt,The shirt ripped.,0,1964,3,example
S675MHBWF7KBRDN0NO1RTK8VC30Y5Z,Wed Aug 17 10:34:07 PDT 2016,"""English""",inanimate,plural,definite,past,Tell me what's happening.,specific,bus,The buses blocked traffic.,1,21529,1,example
RPJU5M0AGL4LHAXLOYWH2TL43SWUCF,Wed Aug 17 10:34:07 PDT 2016,"""English""",animate,plural,definite,progressive,Tell me about squirrels.,generic,squirrel,The squirrels are burying nuts.,0,870,8,target
EJ1M60C76F61Y6D72NWBB9CHYRH1NB,Wed Aug 17 10:34:07 PDT 2016,"""English""",inanimate,singular,indefinite,progressive,,bare,telephone,A telephone is ringing.,1,1405,9,target
QRZ39XBPEBUTE851111EPM56K1ZSXB,Wed Aug 17 10:34:07 PDT 2016,"""English""",inanimate,singular,definite,past,Tell me about cameras.,generic,camera,The camera recorded video.,0,1182,14,target
FST1OY76YVEQGQXNLI7I6584B2ZT0Z,Wed Aug 17 10:34:07 PDT 2016,"""English""",inanimate,plural,indefinite,present,,bare,crayon,Crayons melt in the sun.,1,1177,15,target
OE06BRVME0NVCJRN3TS3OV9GPAYBQH,Wed Aug 17 10:34:07 PDT 2016,"""English""",animate,plural,definite,present,Tell me what's happening.,specific,dog,The dogs gnaw on bones.,0,1650,16,target
JAQNO7H5TB9JFK8ICI912OXMEUON78,Wed Aug 17 10:34:07 PDT 2016,"""English""",animate,singular,definite,past,,bare,butterfly,The butterfly flapped its wings.,1,1485,17,target
SPT8ZXZBEGK9E7M3KM0FFYOLKZSRSI,Wed Aug 17 10:34:07 PDT 2016,"""English""",animate,plural,definite,past,Tell me what's happening.,specific,cat,The cats slept a lot.,1,3261,10,target
32PMU17EY9H90ZVDJ7AZ5C3Z3U7JCS,Wed Aug 17 10:34:07 PDT 2016,"""English""",animate,singular,indefinite,progressive,Tell me about cheetahs.,generic,cheetah,A cheetah is running fast.,1,1414,11,target
ONFCFB7YCB912E20KV5HR8UHFXPAT8,Wed Aug 17 10:34:07 PDT 2016,"""English""",inanimate,plural,definite,progressive,,bare,towel,The towels are soaking up water.,0,1091,12,target
