WorkerId,SubmitTime,Answer 41,animacy,number,definiteness,tense,qud,context,subject,sentence,naturalness,rt,question_number,type
JSSVECPX4AIR1KDG5BXRNRUUE61RG9,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,singular,indefinite,progressive,,bare,ATM,An ATM is dispensing money.,5,2628,33,target
67RWC5K9PA9T4DKU5W6CNKA9QI4HH5,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,singular,definite,past,Tell me what's happening.,specific,piano,The piano played music.,4,2292,39,target
VMXA6HANIYUM5N7G8P3Y7BA3BSMQML,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,singular,definite,progressive,Tell me about towels.,generic,towel,The towel is soaking up water.,5,2103,29,target
PVY6CMUOFENJ1MM1ICRF37KWOES52S,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,plural,definite,past,,bare,lion,The lions chased antelope.,5,1870,28,target
K8QRM5LETZOXY9NCFV68ASK4XTDONA,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,plural,indefinite,progressive,,bare,camel,Camels are carrying supplies through the desert.,5,2517,25,target
Q4ORQ9UY328JEBNR1F3M5FJVZ78ZNW,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,singular,definite,present,Tell me about telephones.,generic,telephone,The telephone rings.,5,1901,24,target
N9UGSHSCM65WWJW7PFMWSUEKDACYOC,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,plural,indefinite,past,Tell me what's happening.,specific,owl,Owls hooted.,4,2132,27,target
0X5967AUAS6KD35151KINPUP1Y9LE5,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,singular,definite,past,Tell me about pigeons.,generic,pigeon,The pigeon bobbed its head.,5,2013,26,target
NLH45RJ0VL2OXZKUIC39ISSQF8AW5G,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,plural,indefinite,present,Tell me about dolphins.,generic,dolphin,Dolphins swim in a pod.,5,2116,21,target
E9ZTUWV7DM4S85DVKH8TTF9TR4DSDZ,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,singular,indefinite,past,Tell me what's happening.,specific,pig,A pig rolled in the mud.,5,2285,20,target
0G18Q436GBUA0EUKYO0NRVYJ99QESJ,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,singular,definite,present,Tell me what's happening.,specific,football,The football spirals in the air.,4,3093,23,target
O68H7NSYP10RZZM5GFCB3RKO8L5472,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,singular,definite,progressive,,bare,computer,The computer is connecting to the internet.,5,2182,22,target
CKHRSQTEPVH6XZB2UE1AAATRIS45PM,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,singular,indefinite,past,,bare,gorilla,A gorilla pounded its chest.,5,1701,40,target
5K7Y42ZAW9BTCVS0708RWKSFX2KKB1,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,singular,indefinite,progressive,Tell me about microwaves.,generic,microwave,A microwave is heating up food.,4,4627,6,target
WZ5DRROJLXV135TDFHPEQW1G6SY9TA,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,singular,definite,present,,bare,panda,The panda eats bamboo.,1,3709,7,target
9BYMUXTR0A4ASL6FBXS8VT7R3A47TO,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,plural,indefinite,present,Tell me about swords.,generic,sword,The moon is made of green cheese.,1,3421,4,example
5IUBNY5F13JM7BEYIXEA3DTMTIXOOD,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,singular,indefinite,progressive,Tell me what's happening.,specific,cheetah,A cheetah is running fast.,5,2697,5,target
PWJAE6LHJID1WOXBQHAGTPJ8FBKSRZ,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,singular,definite,present,Tell me about zebras.,generic,zebra,Zebras have stripes.,5,3619,2,example
I8BTH0F2QGGWBX4LL05AEY6H6CUMA0,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,plural,definite,past,Tell me what's happening.,specific,bus,My father used to drive a bus.,3,5100,3,example
NPS8F1RZS21JWRWCV4VY3T40CL93VW,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,singular,indefinite,progressive,Tell me what's happening.,specific,mouse,A mouse is being chased by a cat.,5,4757,1,example
RLSTXFQV3G9CQ2JI0WN5FPSS1ACQTD,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,plural,definite,present,Tell me what's happening.,specific,light bulb,The light bulbs burn out.,3,3604,8,target
6BDOG6WJFQCXWM2EEUJU987KL6AGBL,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,plural,definite,present,,bare,squirrel,The squirrels bury nuts.,3,5436,9,target
UEI13KHGOMI5D1ULCT1A4U0ME8BK1Z,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,plural,definite,past,Tell me what's happening.,specific,butterfly,The butterflies flapped their wings.,5,2652,14,target
STEXJKTBH71RM0J6DSSNB204DYHFRQ,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,plural,indefinite,past,,bare,boat,Boats sailed across the sea.,5,3223,15,target
56JCMA3MB4SD6K75T71Y8A166M6XGN,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,plural,definite,present,Tell me about bears.,generic,bear,The bears climb trees.,5,2676,16,target
2IF8WM5YUV77EDI8Q02NPYC84R0DFK,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,singular,definite,progressive,Tell me what's happening.,specific,crayon,The crayon is melting in the sun.,5,3068,17,target
BAGQIAPLT5H3DZDFKQKNDRC95MP8ET,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,singular,indefinite,present,Tell me about cameras.,generic,camera,A camera records video.,5,2293,10,target
WMDWF717UQ7MABXHD5JRUNHDF4TNSH,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,plural,indefinite,present,Tell me what's happening.,specific,escalator,Escalators carry people upstairs.,2,4164,11,target
WL77K3I82MBIZOCDILJ3DNG3PZ93V9,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,singular,indefinite,present,,bare,hose,A hose sprays water.,4,3276,12,target
X2XG44OW4FSUOOY39SNXM74O2KHGVS,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,singular,indefinite,past,Tell me about dogs.,generic,dog,A dog gnawed on bones.,3,3628,13,target
K1A03WRGBLW1E0FGBU73BGS8CQ9YQI,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,plural,indefinite,present,,bare,marble,Marbles roll on the floor.,5,2925,36,target
XD60DNY6QLFSZ3HIYQF9BWZ6W5JTL8,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,plural,indefinite,progressive,Tell me what's happening.,specific,frying pan,Frying pans are sizzling.,5,4253,37,target
DLJBS8XD6EUDMDQ2JDYXEJG454BJ7A,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,singular,indefinite,present,Tell me what's happening.,specific,toilet,A toilet flushes.,4,2556,34,target
Z8T8FF0P4KQNTQ058F26R6TUVKPC29,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,plural,definite,past,Tell me about sharks.,generic,shark,The sharks attacked swimmers.,5,1997,35,target
WU6VQ7U6DCK3AH35Z1WS0HGNY82K4S,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,plural,indefinite,past,Tell me about peacocks.,generic,peacock,Peacocks displayed their feathers.,5,2109,18,target
T45EBTJ6U24K8ZRS2CNWJUS1AZF4KU,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,singular,definite,past,,bare,turtle,The turtle moved slowly.,4,2269,19,target
3RB6MIKYFI48X31JH2DZGS8RSL2SGD,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,plural,definite,progressive,,bare,kite,The kites are floating in the breeze.,5,2559,30,target
WV6233DGK9HA5E4O56FU97Q9TDSYJ3,Wed Jun 29 10:08:51 PDT 2016,"""english """,inanimate,plural,definite,progressive,Tell me what's happening.,specific,car,The cars are traveling on the highway.,5,2477,31,target
R19XFPHM2GH70XQSYJC593ODMVWA5L,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,plural,indefinite,progressive,Tell me about kangaroos.,generic,kangaroo,Kangaroos are carrying their babies in pouches.,5,2324,38,target
705FJMAOAJKPK5LMGSMJYYZZNNJWA4,Wed Jun 29 10:08:51 PDT 2016,"""english """,animate,plural,definite,progressive,Tell me about cats.,generic,cat,The cats are sleeping a lot.,5,2173,32,target
ULJ60GULPH4KEC05A791B7ADLL6R2K,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,plural,definite,progressive,Tell me what's happening.,specific,kangaroo,The kangaroos are carrying their babies in pouches.,5,799,33,target
JVSVYOF9PRWIWLYQ1ROUR0QNBWUS4Y,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,singular,definite,past,Tell me what's happening.,specific,toilet,The toilet flushed.,5,2247,39,target
V5RKXPMFYGTZCVQNSCIZRYMYZ9LF6N,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,singular,definite,progressive,Tell me what's happening.,specific,gorilla,The gorilla is pounding its chest.,5,951,29,target
A5J7HXQ4PSW8CR7OT5WZRR9OHCXYZP,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,plural,indefinite,present,,bare,cat,Cats sleep a lot.,5,991,28,target
O2GI78ODB473C9YSF7QCRYDS4U4326,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,plural,indefinite,past,,bare,peacock,Peacocks displayed their feathers.,5,1199,25,target
PH1O9ITW53W2M8OOCO0IX4WEIW5FQQ,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,plural,indefinite,progressive,Tell me about lions.,generic,lion,Lions are chasing antelope.,5,639,24,target
LK2FIUZWLBVDUEUIEE9GII64UKWPA5,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,singular,definite,present,Tell me about hoses.,generic,hose,The hose sprays water.,5,1215,27,target
BPCH94LKKV4K61PKXJQJASJ9Z7H6Y1,Wed Jun 29 10:09:21 PDT 2016,"""english""",inanimate,singular,indefinite,present,Tell me what's happening.,specific,microwave,A microwave heats up food.,5,975,26,target
ZD29B6TK18J4P8DA4I4KP6PM3VL4GL,Wed Jun 29 10:09:21 PDT 2016,"""english""",animate,plural,definite,present,Tell me what's happening.,specific,panda,The pandas eat bamboo.,5,3975,21,target
