WorkerId,SubmitTime,Answer 40,animacy,number,definiteness,tense,qud,context,subject,sentence,genericity,rt,question_number,type
0H240WPAYF22QSP6RS4GM57HWMYAWW,Wed Jun 29 10:08:26 PDT 2016,"""English""",inanimate,singular,indefinite,past,Tell me about marbles.,generic,marble,A marble rolled on the floor.,0,1432,33,target
PUOKJWXWAFDZJYJVMGQRA5DTK1GNOQ,Wed Jun 29 10:08:26 PDT 2016,"""English""",animate,plural,indefinite,present,Tell me what's happening.,specific,pigeon,Pigeons bob their heads.,1,1854,39,target
C0QGJKZFDPX51MPC7EXJ72HZ79IW92,Wed Jun 29 10:08:26 PDT 2016,"""English""",inanimate,singular,indefinite,present,,bare,football,A football spirals in the air.,0,2362,29,target
GQ4PJJHPOWNTLLN3ABBX3DLCCDSMJY,Wed Jun 29 10:08:26 PDT 2016,"""English""",inanimate,singular,definite,progressive,Tell me what's happening.,specific,boat,The boat is sailing across the sea.,0,1993,28,target
K4CEG8TXW0DNXOCLCPS7TOK28ZMO1J,Wed Jun 29 10:08:26 PDT 2016,"""English""",animate,singular,definite,present,Tell me about cheetahs.,generic,cheetah,The cheetah runs fast.,0,2525,25,target
TRPEZ20JCMTS2SCBJEDQSQ8L0S0GVZ,Wed Jun 29 10:08:26 PDT 2016,"""English""",animate,plural,definite,progressive,Tell me what's happening.,specific,lion,The lions are chasing antelope.,0,3527,24,target
TSYFG4L8QLI3NAYSP658YDNGZ2H6BL,Wed Jun 29 10:08:26 PDT 2016,"""English""",inanimate,plural,definite,present,,bare,toilet,The toilets flush.,1,3123,27,target
V1AXCL7GWWBEGZ7FXAGQP65IFUYXZ1,Wed Jun 29 10:08:26 PDT 2016,"""English""",animate,plural,indefinite,past,Tell me what's happening.,specific,cat,Cats slept a lot.,1,2717,26,target
CEXO3IH3FLZJ1F89WC1UYAJ7B8WN8F,Wed Jun 29 10:08:26 PDT 2016,"""English""",inanimate,plural,definite,past,Tell me what's happening.,specific,car,The cars traveled on the highway.,0,4433,21,target
PLE9GJ4RMVHMMRACMMWT6Y18OIONNZ,Wed Jun 29 10:08:26 PDT 2016,"""English""",animate,singular,definite,present,,bare,peacock,The peacock displays its feathers.,0,2469,20,target
