WorkerId,SubmitTime,Answer 40,animacy,number,definiteness,tense,qud,context,subject,sentence,genericity,rt,question_number,type
9JIVKLPHZ0DD4ON72YPRSM47VXWSHF,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,definite,present,Tell me what's happening.,specific,peacock,The peacock displays its feathers.,0,3680,33,target
IODJAPGGB1FWJ4ELZ33JR23ND8QZEY,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,singular,definite,progressive,Tell me about towels.,generic,towel,The towel is soaking up water.,0,4316,39,target
7L5R4FNEW5PTJDTEHX9K8B0X85QWQN,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,singular,indefinite,progressive,Tell me about toilets.,generic,toilet,A toilet is flushing.,0,3453,29,target
51TJ4ZLY8V8N1G2R40WZ1ASOVYN0BG,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,singular,indefinite,progressive,Tell me what's happening.,specific,piano,A piano is playing music.,0,3066,28,target
JW9S1C0MOHPWBE04HRH6UZCI7A0UUH,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,indefinite,present,,bare,light bulb,Light bulbs burn out.,1,3685,25,target
N3HO7AR2RP78NTX7XBOSFA4G0HVUZT,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,indefinite,past,Tell me about kangaroos.,generic,kangaroo,A kangaroo carried its baby in a pouch.,0,3408,24,target
MLM1IGGWMKF9T3N8K77V2K65BNS7T7,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,definite,past,Tell me about hoses.,generic,hose,The hoses sprayed water.,0,5484,27,target
FU88ZMV2YJWIE0ZK54Y2ANM3HCBJGP,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,indefinite,past,Tell me what's happening.,specific,computer,Computers connected to the internet.,0,3270,26,target
6430OH8VNBWKI9CYBU3X52RKJ6TG4H,Thu May 19 12:39:34 PDT 2016,"""English""",animate,plural,indefinite,progressive,Tell me about sharks.,generic,shark,Sharks are attacking swimmers.,1,3493,21,target
V7ES0NK32ICFEVW536ALKB2SFJXCZQ,Thu May 19 12:39:34 PDT 2016,"""English""",animate,plural,indefinite,present,Tell me what's happening.,specific,lion,Lions chase antelope.,0,3752,20,target
UV0BCIZKC940RDNO8XXS164HNSTY0Z,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,indefinite,present,,bare,pig,A pig rolls in the mud.,1,4936,23,target
118OF6NTYOACFLF4GC7WA0NAGL0VLM,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,indefinite,past,Tell me what's happening.,specific,squirrel,A squirrel buried nuts.,0,3409,22,target
U1CLKKY7XCQ5G5MXERKE13LF0QMMDF,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,singular,definite,present,,bare,boat,The boat sails across the sea.,0,6749,6,target
727NP6WTB30APW53K0GTP049G6EQ4D,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,definite,progressive,Tell me what's happening.,specific,cat,The cat is sleeping a lot.,0,4502,7,target
FPERWWSD2PLA47R67HCJ876SV8U2VN,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,definite,present,Tell me about turtles.,generic,turtle,The turtle moves slowly.,1,3766,4,target
Q35RV9AHGMSNZ8L09S1G3FMMBNE3B4,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,indefinite,present,Tell me what's happening.,specific,dog,A dog gnaws on bones.,0,4169,5,target
V9OW3DSGRF70DX4I1EYQ3XIWBHK5JZ,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,indefinite,progressive,Tell me what's happening.,specific,mouse,A mouse is being chased by a cat.,0,5003,2,example
3NE0UWRHSRSC13PSQ8SY1OP25I61H3,Thu May 19 12:39:34 PDT 2016,"""English""",animate,plural,indefinite,present,,bare,elephant,Elephants use their trunks to eat.,1,4645,3,example
PATCYW44D472N2D7JG74S55D4JR82W,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,definite,present,Tell me about zebras.,generic,zebra,Zebras have stripes.,1,6053,1,example
FRD7U7VRECP3C05HHLEWQL5M8B3WTN,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,definite,progressive,,bare,telephone,The telephones are ringing.,0,5348,8,target
SD65Y8Z1CU3G8L2VNUL5P5IMJA0CEL,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,definite,present,Tell me about microwaves.,generic,microwave,The microwaves heat up food.,1,3297,9,target
F4FGTB92537Y9J0J8OVX4AN15KB3OP,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,indefinite,progressive,,bare,owl,An owl is hooting.,0,2966,14,target
ARS2EQ33ZUDQ2PIL18LRFFD5RAX70J,Thu May 19 12:39:34 PDT 2016,"""English""",animate,plural,indefinite,present,Tell me about pigeons.,generic,pigeon,Pigeons bobs their heads.,1,2587,15,target
49TVNYKIVRF701P53WJOJSR1XK3OVI,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,singular,indefinite,past,,bare,kite,A kite floated in the breeze.,0,3149,16,target
RCSBUDJZG296X5S2ICOWD1BWEAFJW8,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,singular,definite,past,Tell me about ATMs.,generic,ATM,The ATM dispensed money.,1,4846,17,target
3LMGHVXBH8QJHAWL565D0H1PRN6D3F,Thu May 19 12:39:34 PDT 2016,"""English""",animate,plural,indefinite,progressive,Tell me what's happening.,specific,camel,Camels are carrying supplies through the desert.,0,3749,10,target
S7P5HL10VU9CDHXFW1URNORAHNQKEF,Thu May 19 12:39:34 PDT 2016,"""English""",animate,plural,definite,past,,bare,panda,The pandas ate bamboo.,0,3354,11,target
6QBVOEIVNMFGTG1L4F4C2HXV308226,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,indefinite,past,Tell me about cameras.,generic,camera,Cameras recorded video.,1,3153,12,target
DPCQJSKMJON75YZD935PHYME6D0VBZ,Thu May 19 12:39:34 PDT 2016,"""English""",animate,plural,definite,present,Tell me what's happening.,specific,dolphin,The dolphins swim in a pod.,0,3647,13,target
QUSZY1BO3FUOY8HZ6Q7ZLLE7D3LA05,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,indefinite,progressive,,bare,marble,Marbles are rolling on the floor.,0,3910,36,target
ZO0XTZDX9YCQ9Z5QH6VFBRACUUIC4Y,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,definite,past,Tell me what's happening.,specific,football,The footballs spiraled in the air.,0,4686,37,target
H5QOEYTJYWXFDLCNX037M9UCEVVSZW,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,indefinite,present,Tell me about gorillas.,generic,gorilla,A gorilla pounds its chest.,1,6359,34,target
L9ECHI8UJ5AN2BN2DK0RT0J35C1E54,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,singular,definite,past,Tell me what's happening.,specific,crayon,The crayon melted in the sun.,0,3094,35,target
D2ZD8Q0KEMRGUO06L3EB72ESBQXONW,Thu May 19 12:39:34 PDT 2016,"""English""",animate,plural,definite,progressive,Tell me what's happening.,specific,butterfly,The butterflies are flapping their wings.,0,3753,18,target
0568X84VJJM1TL953947FV92W2W1RJ,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,singular,definite,progressive,,bare,frying pan,The frying pan is sizzling.,0,3012,19,target
C3Z843TG2M1SMZYNGX5AKATJ30PLQQ,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,indefinite,past,,bare,escalator,Escalators carried people upstairs.,0,5987,30,target
5D5VNLIRBF5XF18ZVIIBYA7OD4CAAA,Thu May 19 12:39:34 PDT 2016,"""English""",animate,plural,definite,progressive,Tell me about cheetahs.,generic,cheetah,The cheetahs are running fast.,0,3341,31,target
C7AYGEBORU6LR3RVDTLDDPAKMILQQO,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,definite,past,,bare,bear,The bear climbed trees.,0,4801,38,target
HJQSDT1N7HK8U3ZZJVS77ARX9TNM0J,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,definite,present,,bare,car,The cars travel on the highway.,1,4418,32,target
1WH6R93WJ1IWYTWT80BGF3XNOWP6TZ,Thu May 19 12:39:41 PDT 2016,"""english""",animate,plural,indefinite,present,,bare,gorilla,Gorillas pound their chests.,1,2628,33,target
U08RD0PRXKSOR9NQ4YP2L3KOXI8Y5T,Thu May 19 12:39:41 PDT 2016,"""english""",animate,singular,indefinite,present,Tell me about owls.,generic,owl,An owl hoots.,0,2359,39,target
X1LEJ6MVVZM3NLPB6N4GAKPM0RSG8A,Thu May 19 12:39:41 PDT 2016,"""english""",animate,plural,definite,past,,bare,peacock,The peacocks displayed their feathers.,0,3518,29,target
4DAKSUGB3N20H4G7YPTY6GJFIDTQVI,Thu May 19 12:39:41 PDT 2016,"""english""",animate,singular,indefinite,progressive,Tell me about sharks.,generic,shark,A shark is attacking swimmers.,0,2554,28,target
0YZX5CG4Z1VX7IP595K285NX0RD4TY,Thu May 19 12:39:41 PDT 2016,"""english""",animate,singular,definite,progressive,Tell me about dogs.,generic,dog,The dog is gnawing on bones.,0,2616,25,target
YXJC16KK39Y1LCNARG1T5QEPHC3EW4,Thu May 19 12:39:41 PDT 2016,"""english""",animate,plural,indefinite,past,,bare,squirrel,Squirrels buried nuts.,0,4130,24,target
VTUVEHKPDZ3T33SLJHG6JNF2ZR19J3,Thu May 19 12:39:41 PDT 2016,"""english""",animate,plural,indefinite,present,Tell me what's happening.,specific,camel,Camels carry supplies through the desert.,1,4135,27,target
KG7CSTDVNZO3Z5XH256CFJNE92H7X5,Thu May 19 12:39:41 PDT 2016,"""english""",inanimate,singular,definite,progressive,,bare,towel,The towel is soaking up water.,0,3186,26,target
8OCQ8ZMO7CJT1F40KUNXDTXXV1CBQC,Thu May 19 12:39:41 PDT 2016,"""english""",inanimate,plural,definite,present,,bare,crayon,The crayons melt in the sun.,0,3993,21,target
2K4K3ZQ4OIHIH4I8CBQB4RHICGPPQD,Thu May 19 12:39:41 PDT 2016,"""english""",inanimate,plural,definite,past,Tell me about kites.,generic,kite,The kites floated in the breeze.,0,3590,20,target
U4IM3JEOSR56ZHNUIJ5H825P0VF7TA,Thu May 19 12:39:41 PDT 2016,"""english""",animate,singular,indefinite,past,Tell me what's happening.,specific,pig,A pig rolled in the mud.,0,2103,23,target
BX1Y4N93U2RALYV5YGW5OSE3O8X2RN,Thu May 19 12:39:41 PDT 2016,"""english""",inanimate,singular,definite,past,Tell me about cameras.,generic,camera,The camera recorded video.,0,3260,22,target
LV4IM1BJZ0BE4WUNHD60PF5VEDD3R5,Thu May 19 12:39:41 PDT 2016,"""english""",animate,singular,indefinite,past,Tell me about butterflies.,generic,butterfly,A butterfly flapped its wings.,0,3996,6,target
LMFOSDVU37CVVXGAD72BM4992KW13J,Thu May 19 12:39:41 PDT 2016,"""english""",animate,plural,definite,progressive,Tell me what's happening.,specific,pigeon,The pigeons are bobbing their heads.,0,13949,7,target
EE6ILZCEN9RMGOYWGNNL3HB8N2C0P7,Thu May 19 12:39:41 PDT 2016,"""english""",inanimate,singular,indefinite,past,,bare,microwave,A microwave heated up food.,0,4647,4,target
OBX62QBIGS8ZWDZYOVDIZFKKKDEASI,Thu May 19 12:39:41 PDT 2016,"""english""",inanimate,singular,definite,past,Tell me what's happening.,specific,marble,The marble rolled on the floor.,0,3820,5,target
ZWBSGQ4JUAMNWQ8E3TPF4BO0FB1NYM,Thu May 19 12:39:41 PDT 2016,"""english""",inanimate,plural,indefinite,present,Tell me about swords.,generic,sword,Swords are sharp.,1,5066,2,example
E71ZL0TV651ZWVRH98FO5CTQ9ICE94,Thu May 19 12:39:41 PDT 2016,"""english""",inanimate,plural,definite,past,Tell me what's happening.,specific,bus,The buses blocked traffic.,0,5958,3,example
3CF6B1G2RKHNTUD2SFK53S8TGJ3SOE,Thu May 19 12:39:41 PDT 2016,"""english""",inanimate,singular,definite,past,,bare,shirt,The shirt ripped.,0,7410,1,example
X5ZNO55E6GZDVC00PGHKMXY0NYNB6A,Thu May 19 12:39:41 PDT 2016,"""english""",inanimate,singular,indefinite,present,,bare,football,A football spirals in the air.,0,4586,8,target
