WorkerId,SubmitTime,Answer 56,animacy,number,definiteness,tense,subject,sentence,response,rt,question_number,type,aspect,modal,be_have,sentence_id,sentence_length,original_response
WI860FYDUHRDIG5LZZJT050FDP8JC4,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,singular,indefinite,present,marble,A marble is fun to play.,2,3789,5,target,simple,no,yes,3049,4,generic
LV6QAJR2KZ45W1FAB2C4ZKSGB36127,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,singular,definite,present,zebra,The zebra is not extinct.,1,4106,2,example,simple,no,yes,3049,4,generic
CSGGR41QAVKB51RAR7RSAZAQAQTO6X,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,plural,definite,present,bus,The buses were blocking traffic.,2,6735,3,example,simple,no,yes,3049,4,generic
NMRX6FRWVDSLO10KYZD7R2DA3YPF6V,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,plural,indefinite,present,sword,Swords are weapons.,1,5661,1,example,simple,no,yes,3049,4,generic
PIKA6H28ZY3WU1K95D8884JO26W0ST,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,plural,indefinite,present,cheetah,Cheetahs can run fast.,1,2145,8,target,simple,yes,no,2182,3,generic
511ZSNJROBS4WUQ3HE0J6SSWSDQC5N,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,plural,indefinite,past,squirrel,Squirrels gathered nuts for the winter.,1,5870,9,target,simple,no,no,146,5,generic
3H0AKM6IS418H2R5VMSAY9JG8DJ915,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,singular,indefinite,present,cat,A cat licks his fur,2,1717,14,target,simple,no,no,330,3,non.generic
G8YUPB55979RRC1INVV9K54ZCDYBRQ,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,plural,indefinite,present,dog,Dogs like to chase cats.,1,2522,15,target,simple,no,no,510,4,generic
RB2Q7VCJ8VXZSK65D8XT6ARSSXD4BA,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,plural,definite,present,cheetah,The cheetahs run way faster than any human.,2,2840,16,target,simple,no,no,1688,6,generic
MPU6A0YEBQ1N0QALR4DKRCVKOX5XO3,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,plural,indefinite,present,peacock,Peacocks preen their feathers.,1,2338,17,target,simple,no,no,3178,3,generic
37NIQ1P92JN1T3FHQVT81IX37KC661,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,plural,indefinite,present,trumpet,Trumpets are essential in a marching band.,1,2465,10,target,simple,no,yes,262,6,generic
FBCD5GXKR3RD8ZKQ09GAB5UGGJ7GAN,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,plural,definite,present,squirrel,The squirrels eat nuts,2,1706,11,target,simple,no,no,990,2,non.generic
I1IF6M3Q5PGR2R8GUG0INCNDJIPY2W,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,singular,definite,past,gorilla,The gorilla was carrying her baby while she swung from tree to tree.,2,2231,12,target,progressive,no,no,4190,11,non.generic
F4AZO0E2BD6ZGBN6ED9T8HWIFT3OL9,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,singular,definite,past,dolphin,The dolphin was circling us in the water.,2,5335,13,target,progressive,no,no,1709,6,non.generic
UQ09AOQTRHR291SSHQXH1IS8SCC3P5,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,plural,definite,past,piano,The pianos were tuned by a tuner.,2,2551,36,target,simple,no,no,2113,5,non.generic
42WR6UVN5VBFSNY5TRTHB4B8VIGFG2,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,singular,definite,past,owl,The owl said Who,2,1465,37,target,simple,no,no,2738,2,non.generic
JMS94V896OJUJ9NXMMW63H2AX56RNH,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,plural,indefinite,present,piano,Pianos Have many keys,1,1914,34,target,simple,no,yes,1337,3,generic
TSB7CRZFOS5XIJWA197THKQXI5WH72,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,singular,indefinite,present,lamp,A lamp Needs a bulb,2,2804,35,target,simple,no,no,1344,3,generic
UBCSHFS5RI3VU7GD87NGTT3Q4SNTZU,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,singular,indefinite,past,squirrel,A squirrel had a nut.,2,2152,18,target,simple,no,yes,2093,3,non.generic
7X1E25K08WLQULLH3H3MVFV8U41WNV,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,plural,definite,present,trumpet,The trumpets are loud.,2,2481,19,target,simple,no,yes,495,2,non.generic
HWPFX2T3JXGSHVZ8LXLEG5J8IPNVDJ,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,singular,indefinite,present,clock,A clock can be used to tell time.,1,2515,30,target,simple,yes,no,748,6,generic
AQXU20XBV8KS5W7WEZCPB20UCU86QY,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,plural,indefinite,past,piano,Pianos were playing music.,2,2502,31,target,progressive,no,no,4313,3,non.generic
IGBOVRQCZCUO5JJDXWRQAO1UC094RL,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,plural,definite,past,boat,The boats chugged across the harbor.,2,1784,38,target,simple,no,no,3567,4,non.generic
RS6UFNU38FCCTY8S7GSFVUWOXTD227,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,singular,indefinite,present,elephant,An elephant is a large mammal,1,3764,51,target,simple,no,yes,3336,4,generic
ERZ2MQAMSJHIJE3DDIZGW17OFZ5IQM,Wed Jan 20 13:33:54 PST 2016,"""English""",animate,plural,indefinite,present,camel,Camels can store water in their humps.,1,2315,32,target,simple,yes,no,876,6,generic
