WorkerId,SubmitTime,animacy,number,definiteness,tense,subject,sentence,response,rt,question_number,type,aspect,modal,be_have,sentence_id,sentence_length,original_response
3AJEF9C0BH2QXVC32W1LRMTKUEJUDL,Thu Jan 21 17:02:18 PST 2016,inanimate,plural,definite,past,football,The footballs were specially designed for professional competition.,1,9638,53,target,simple,no,no,196,6,non.generic
M8PP6PCLH242CQ56Z8S63RMGTWOINK,Thu Jan 21 17:02:18 PST 2016,inanimate,singular,indefinite,present,toilet,A toilet should be cleaned regularly.,1,3736,50,target,simple,yes,no,279,4,generic
1DUE6VR5H635QZOY521G52BZ5UBBMF,Thu Jan 21 17:02:18 PST 2016,inanimate,singular,indefinite,present,car,A car needs fuel.,1,2228,33,target,simple,no,no,498,2,generic
90G79ROOMVEK0DH5ZA58S8ZSLVNKYP,Thu Jan 21 17:02:18 PST 2016,animate,plural,definite,past,fox,The foxes escaped the hounds.,2,3637,39,target,simple,no,no,648,3,non.generic
LDK6G3T8YMB98G8WU8B4W95B17HK1O,Thu Jan 21 17:02:18 PST 2016,inanimate,plural,indefinite,past,marble,Marbles rolled down the slope.,2,2287,29,target,simple,no,no,3382,4,non.generic
5I3IL54KGDNMGIVEAO14K01EYWC80R,Thu Jan 21 17:02:18 PST 2016,animate,singular,indefinite,present,dog,A dog barks all night.,2,2335,28,target,simple,no,no,3158,3,non.generic
DUIZDGA0OJ9JYNT8ERWMDOZCQSMUT3,Thu Jan 21 17:02:18 PST 2016,inanimate,singular,definite,past,fence,The fence fell down in the storm.,2,1996,25,target,simple,no,no,2122,5,non.generic
63K2UR508IQZIFJNPWWFNYIWE5Y6LY,Thu Jan 21 17:02:18 PST 2016,animate,plural,indefinite,present,elephant,Elephants like to trumpet when they are happy.,1,2877,24,target,simple,no,no,3588,7,generic
EXHR2DTZ1L1J66LCGE8YCQ9Z2HND0B,Thu Jan 21 17:02:18 PST 2016,animate,plural,indefinite,present,penguin,Penguins live in arctic regions.,1,2518,27,target,simple,no,no,3188,4,generic
K217HPZDEWT8LIN944NY1FVRKUDIS9,Thu Jan 21 17:02:18 PST 2016,inanimate,plural,indefinite,past,knife,Knives flew through the air at the target. ,2,2826,26,target,simple,no,no,1572,7,non.generic
