WorkerId,SubmitTime,Answer 40,animacy,number,definiteness,tense,qud,context,subject,sentence,genericity,rt,question_number,type
TQF28WL5UGINI2WO6OWQQLRJENCCC0,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,definite,present,Tell me what's happening.,specific,peacock,The peacock displays its feathers.,0,3680,33,target
OR72LREGJDQZ12F0FYF23B5RCTJBGZ,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,singular,definite,progressive,Tell me about towels.,generic,towel,The towel is soaking up water.,0,4316,39,target
J5J09RWG72R5130SL4HP3CERCUXG1K,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,singular,indefinite,progressive,Tell me about toilets.,generic,toilet,A toilet is flushing.,0,3453,29,target
LOZBL7UUJCAGHLHJ3X2WW7CSH5B1DI,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,singular,indefinite,progressive,Tell me what's happening.,specific,piano,A piano is playing music.,0,3066,28,target
EY4GTT31388LKNYT3XGWSKBID4YGY5,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,indefinite,present,,bare,light bulb,Light bulbs burn out.,1,3685,25,target
H6630QYWJHJKFI2QVYGNR7JM0T5GAN,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,indefinite,past,Tell me about kangaroos.,generic,kangaroo,A kangaroo carried its baby in a pouch.,0,3408,24,target
HJPLAP443S8C0QW22H9Z8UIRVTUG1C,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,definite,past,Tell me about hoses.,generic,hose,The hoses sprayed water.,0,5484,27,target
2OG194IBKWOX5YPJB9WRYD3H4QWPZK,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,indefinite,past,Tell me what's happening.,specific,computer,Computers connected to the internet.,0,3270,26,target
CTYN3N6MDIIXPSNW4M976Y5Z0NO83D,Thu May 19 12:39:34 PDT 2016,"""English""",animate,plural,indefinite,progressive,Tell me about sharks.,generic,shark,Sharks are attacking swimmers.,1,3493,21,target
GTSNCD50L0SQE5IRQJ9150XHIXIW6S,Thu May 19 12:39:34 PDT 2016,"""English""",animate,plural,indefinite,present,Tell me what's happening.,specific,lion,Lions chase antelope.,0,3752,20,target
71TCSZKJ8SEABIC4HOQR3EEVOKXYAY,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,indefinite,present,,bare,pig,A pig rolls in the mud.,1,4936,23,target
QXKBQEQN2G0G0YPUEX70V45PZT515U,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,indefinite,past,Tell me what's happening.,specific,squirrel,A squirrel buried nuts.,0,3409,22,target
5OVIDS8FW7GY3TUB3I21AT0DT6V4RQ,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,singular,definite,present,,bare,boat,The boat sails across the sea.,0,6749,6,target
ZVBIECCGOGQF05P7B726MZ3YY9Z0OH,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,definite,progressive,Tell me what's happening.,specific,cat,The cat is sleeping a lot.,0,4502,7,target
2ANSUU3E3SP8DWMANG0UA71O2G4HYB,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,definite,present,Tell me about turtles.,generic,turtle,The turtle moves slowly.,1,3766,4,target
4JJQX9TPEO7VRBX5GGLWN1CK84XHKZ,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,indefinite,present,Tell me what's happening.,specific,dog,A dog gnaws on bones.,0,4169,5,target
3FA72GQP11LIR8R3S9AERDM15ZJN2K,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,indefinite,progressive,Tell me what's happening.,specific,mouse,A mouse is being chased by a cat.,0,5003,2,example
82K1N08A24AE8BP9RBK0KHYVPH96WU,Thu May 19 12:39:34 PDT 2016,"""English""",animate,plural,indefinite,present,,bare,elephant,Elephants use their trunks to eat.,1,4645,3,example
EJL762V504FN7V3UDCVWEQFLL210KS,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,definite,present,Tell me about zebras.,generic,zebra,Zebras have stripes.,1,6053,1,example
TSI7EDFOIWGYWGEEF405NTPZDKJ0HE,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,definite,progressive,,bare,telephone,The telephones are ringing.,0,5348,8,target
8BTFV17G4YXVZCEPOY84E6SQL4QVYI,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,definite,present,Tell me about microwaves.,generic,microwave,The microwaves heat up food.,1,3297,9,target
OT5VAH8ZQQXEWMQHKB7FA2GEBA2NWV,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,indefinite,progressive,,bare,owl,An owl is hooting.,0,2966,14,target
6FS23W9J7U7WFCWSW7FNYGWBLU0X20,Thu May 19 12:39:34 PDT 2016,"""English""",animate,plural,indefinite,present,Tell me about pigeons.,generic,pigeon,Pigeons bobs their heads.,1,2587,15,target
Z3Y6UFA0G0SJXGCU9S6P8O4E5QDR2I,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,singular,indefinite,past,,bare,kite,A kite floated in the breeze.,0,3149,16,target
UWW4TZT9FR0KF83PYKP8APHWKD2DQD,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,singular,definite,past,Tell me about ATMs.,generic,ATM,The ATM dispensed money.,1,4846,17,target
VTYBORLS23WRNR6L16PRA6YPQGWHGK,Thu May 19 12:39:34 PDT 2016,"""English""",animate,plural,indefinite,progressive,Tell me what's happening.,specific,camel,Camels are carrying supplies through the desert.,0,3749,10,target
GCJBQ0K7YIDQIEXQLVBG93AI0VLOKO,Thu May 19 12:39:34 PDT 2016,"""English""",animate,plural,definite,past,,bare,panda,The pandas ate bamboo.,0,3354,11,target
1MIKKD3PGK1PJOZINV15CMO6IJAEYN,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,indefinite,past,Tell me about cameras.,generic,camera,Cameras recorded video.,1,3153,12,target
RRHRWVZEMX9VD7BMZ5XW2CHT7P15TG,Thu May 19 12:39:34 PDT 2016,"""English""",animate,plural,definite,present,Tell me what's happening.,specific,dolphin,The dolphins swim in a pod.,0,3647,13,target
FZHR4CTL0ZHUVEC7SL6JDCWZQK1ZAL,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,indefinite,progressive,,bare,marble,Marbles are rolling on the floor.,0,3910,36,target
PTPOUNUVWG9E3HB5J7R7TS7XBD4GUT,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,definite,past,Tell me what's happening.,specific,football,The footballs spiraled in the air.,0,4686,37,target
1WBCUOUPDO6QLI01EPIS84HTHNALTA,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,indefinite,present,Tell me about gorillas.,generic,gorilla,A gorilla pounds its chest.,1,6359,34,target
TWG86C52MXYM094JX7Z49RJJLJMLNI,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,singular,definite,past,Tell me what's happening.,specific,crayon,The crayon melted in the sun.,0,3094,35,target
TQQYFU2P88N1M1NN7GN3QZO7KRAEPL,Thu May 19 12:39:34 PDT 2016,"""English""",animate,plural,definite,progressive,Tell me what's happening.,specific,butterfly,The butterflies are flapping their wings.,0,3753,18,target
WYH7GNVUKY317YAUGCZBNE00BK628Q,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,singular,definite,progressive,,bare,frying pan,The frying pan is sizzling.,0,3012,19,target
YXBOPFED9H1N0XHT2QX48VPYT98ICX,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,indefinite,past,,bare,escalator,Escalators carried people upstairs.,0,5987,30,target
QL4HJ73SVZAN61JDAZ2HBMQ0GISGVJ,Thu May 19 12:39:34 PDT 2016,"""English""",animate,plural,definite,progressive,Tell me about cheetahs.,generic,cheetah,The cheetahs are running fast.,0,3341,31,target
0VE4AHSH1L21TRP0LTK65NF5IA8XJ2,Thu May 19 12:39:34 PDT 2016,"""English""",animate,singular,definite,past,,bare,bear,The bear climbed trees.,0,4801,38,target
JGF8T31EA7O3EJXYC8RUYD6Q33S3W4,Thu May 19 12:39:34 PDT 2016,"""English""",inanimate,plural,definite,present,,bare,car,The cars travel on the highway.,1,4418,32,target
WB0BEXKXMM4TN7LBFGGPPNH879RLIV,Thu May 19 12:39:41 PDT 2016,"""english""",animate,plural,indefinite,present,,bare,gorilla,Gorillas pound their chests.,1,2628,33,target
2CJWJSK68GTEXDHSRMCZIB9EZW9EER,Thu May 19 12:39:41 PDT 2016,"""english""",animate,singular,indefinite,present,Tell me about owls.,generic,owl,An owl hoots.,0,2359,39,target
SK4PMCE4MZMZV6C1X8HZH7RDNJIKRX,Thu May 19 12:39:41 PDT 2016,"""english""",animate,plural,definite,past,,bare,peacock,The peacocks displayed their feathers.,0,3518,29,target
3J37RPQAOU7KJC59UMRR6PRIOJ3RO2,Thu May 19 12:39:41 PDT 2016,"""english""",animate,singular,indefinite,progressive,Tell me about sharks.,generic,shark,A shark is attacking swimmers.,0,2554,28,target
W1BHAV6N28B3TCSZD84811BH72TEJ2,Thu May 19 12:39:41 PDT 2016,"""english""",animate,singular,definite,progressive,Tell me about dogs.,generic,dog,The dog is gnawing on bones.,0,2616,25,target
QJCL7ZI2IPL7D78ZS3V0C2CKAR021F,Thu May 19 12:39:41 PDT 2016,"""english""",animate,plural,indefinite,past,,bare,squirrel,Squirrels buried nuts.,0,4130,24,target
FMFL4FAVCKPSB3VBGWX2W9YNV1YKSK,Thu May 19 12:39:41 PDT 2016,"""english""",animate,plural,indefinite,present,Tell me what's happening.,specific,camel,Camels carry supplies through the desert.,1,4135,27,target
486UYOG215G0MP3XBCAEVMJYZD4KXK,Thu May 19 12:39:41 PDT 2016,"""english""",inanimate,singular,definite,progressive,,bare,towel,The towel is soaking up water.,0,3186,26,target
MQJR580RK0D7BZNA8Z89SOZ2GI1E6M,Thu May 19 12:39:41 PDT 2016,"""english""",inanimate,plural,definite,present,,bare,crayon,The crayons melt in the sun.,0,3993,21,target
3YD3UIQYO3H8DIFHDV91X31KJI1J61,Thu May 19 12:39:41 PDT 2016,"""english""",inanimate,plural,definite,past,Tell me about kites.,generic,kite,The kites floated in the breeze.,0,3590,20,target
